N	2gram	Vinokur_St_1	EvropaiC
1	таким образом	7	32
2	в том	36	31
3	и в	44	24
4	том что	29	20
5	все эти	5	19
6	не может	8	18
7	то что	18	17
8	может быть	15	15
9	все же	8	15
10	точки зрения	11	13
11	в своем	2	12
12	до сих	7	12
13	сих пор	7	12
14	самом деле	11	12
15	в этом	21	12
16	все это	5	11
17	между тем	3	11
18	с этим	3	11
19	отношению к	3	10
20	как бы	4	10
21	по отношению	3	10
22	культуры в	3	10
23	во всех	8	10
24	так и	9	10
25	на то	4	9
26	при этом	2	9
27	в результате	3	9
28	как и	9	9
29	того же	3	9
30	что в	30	9
31	не в	12	8
32	в самом	7	8
33	так же	5	8
34	чем у	2	8
35	если бы	9	8
36	и все	2	8
37	ясно что	10	8
38	с точки	8	8
39	не менее	5	7
40	для этого	2	7
41	но и	10	7
42	и не	16	7
43	и что	4	7
44	из этих	6	7
45	по своей	2	7
46	о котором	2	7
47	о том	17	7
48	что он	10	7
49	по существу	2	7
50	на самом	6	7
51	того чтобы	11	7
52	для того	10	7
53	должна быть	3	6
54	с другой	9	6
55	так что	6	6
56	в этой	11	6
57	несмотря на	2	6
58	того что	9	6
59	при чем	6	6
60	что касается	3	6
61	так как	5	6
62	в сознании	2	6
63	еще не	3	6
64	что и	6	6
65	только в	10	6
66	именно в	6	5
67	что это	4	5
68	и без	3	5
69	столь же	4	5
70	что все	2	5
71	у него	2	5
72	в пользу	2	5
73	что с	2	5
74	в целом	5	5
75	и их	2	5
76	другой стороны	7	5
77	как к	3	5
78	и с	3	5
79	потому что	6	5
80	его в	2	5
81	но в	10	5
82	в то	9	5
83	что при	2	5
84	в его	9	5
85	не только	18	5
86	быть и	2	5
87	и для	3	5
88	но все	4	5
89	лишь в	3	5
90	в себе	2	5
91	как будто	4	5
92	в которой	4	5
93	на вопрос	4	4
94	никогда не	5	4
95	в конце	3	4
96	его собственной	2	4
97	в такой	2	4
98	этом случае	2	4
99	из того	2	4
100	тем не	2	4
101	что как	2	4
102	об эволюции	2	4
103	отношение к	2	4
104	из них	8	4
105	а потому	2	4
106	и то	5	4
107	всех этих	2	4
108	ни один	2	4
109	он не	2	4
110	что эта	2	4
111	совершенно не	5	4
112	то же	5	4
113	а с	3	4
114	этой области	5	4
115	и сейчас	4	4
116	и у	2	4
117	хотя бы	6	4
118	в таком	3	4
119	в виде	3	4
120	в области	14	4
121	может не	2	3
122	же как	3	3
123	с одной	3	3
124	в этих	2	3
125	представление о	4	3
126	вопрос о	4	3
127	в тех	3	3
128	для нас	7	3
129	так или	2	3
130	в нем	5	3
131	данном случае	6	3
132	то очевидно	2	3
133	целый ряд	2	3
134	что оно	3	3
135	заключается в	4	3
136	и по	5	3
137	а в	17	3
138	это не	8	3
139	в начале	3	3
140	в истории	3	3
141	что мы	5	3
142	при помощи	2	3
143	и потому	2	3
144	можно назвать	2	3
145	прежде всего	7	3
146	у нас	11	3
147	чем в	3	3
148	конечно не	2	3
149	гораздо больше	2	3
150	даже в	3	3
151	должны быть	3	3
152	или иначе	2	3
153	в данном	14	3
154	тем более	4	3
155	и вообще	3	3
156	ничего общего	3	3
157	и это	2	3
158	но на	2	2
159	в сторону	2	2
160	в частности	4	2
161	можно ли	4	2
162	тому что	3	2
163	точку зрения	3	2
164	что у	4	2
165	о них	2	2
166	с этой	3	2
167	что на	2	2
168	все в	2	2
169	для него	6	2
170	такой же	5	2
171	что они	7	2
172	же время	4	2
173	одной стороны	2	2
174	и сам	2	2
175	к нему	2	2
176	но для	2	2
177	в ней	3	2
178	но если	4	2
179	всяком случае	6	2
180	в котором	5	2
181	и уже	2	2
182	по его	2	2
183	что она	4	2
184	что для	3	2
185	во втором	4	2
186	и те	2	2
187	в которых	5	2
188	и так	3	2
189	одно из	2	2
190	говорить о	2	2
191	не было	4	2
192	также и	9	2
193	во всяком	6	2
194	то есть	2	2
195	в основе	3	2
196	и более	2	2
197	представляет собою	2	2
198	при таком	2	2
199	же касается	3	2
200	он должен	2	2
201	гораздо более	4	2
202	этих двух	3	2
203	должен быть	3	2
204	вовсе не	19	2
205	то в	3	2
206	что до	2	2
207	но не	3	2
208	свои силы	2	2
209	она не	2	2
210	было бы	17	2
211	жизни и	5	2
212	никто не	4	2
213	в сущности	2	2
214	общего с	3	2
215	между прочим	2	2
216	очень мало	3	2
217	на него	2	2
218	что же	6	2
219	но с	3	2
220	о которой	3	2
221	тем самым	2	2
222	этот вопрос	4	2
223	в другом	3	2
224	не знает	2	2
225	если это	3	2
226	этого слова	2	2
227	есть в	2	2
228	и только	3	2
