N	2gram	Bakhtin_sl_1	Poddanst
1	не только	16	17
2	и в	41	14
3	и не	16	12
4	в отношении	6	10
5	в этом	12	10
6	то же	14	9
7	в том	3	9
8	в качестве	3	9
9	но в	8	9
10	хотя бы	3	8
11	в пределах	14	8
12	же время	12	7
13	в то	14	7
14	только в	6	7
15	но и	16	6
16	в ней	4	6
17	в смысле	4	6
18	было бы	3	6
19	с другой	5	5
20	не в	7	5
21	отношении к	6	5
22	и о	2	5
23	может быть	14	5
24	в котором	2	4
25	в своем	3	4
26	не может	14	4
27	и к	5	4
28	а в	6	4
29	том что	2	4
30	а также	2	4
31	как бы	12	4
32	и потому	4	4
33	в нем	30	3
34	и т	28	3
35	столь же	2	3
36	это не	6	3
37	с одной	4	3
38	прежде всего	8	3
39	для того	2	3
40	с точки	8	3
41	мы не	2	3
42	с ними	3	3
43	между тем	2	3
44	но не	2	3
45	могут быть	19	3
46	точки зрения	16	3
47	в себе	3	3
48	одной стороны	4	3
49	потому что	2	3
50	хотя и	2	3
51	и тем	2	2
52	для них	2	2
53	именно в	3	2
54	во всех	17	2
55	в частности	2	2
56	друг другу	2	2
57	в них	6	2
58	в последние	2	2
59	все это	5	2
60	как раз	2	2
61	с этим	3	2
62	именно как	2	2
63	еще более	5	2
64	и других	3	2
65	а не	15	2
66	бы ни	3	2
67	того что	3	2
68	точек зрения	5	2
69	должно быть	2	2
70	для нас	2	2
71	в ее	2	2
72	одна из	2	2
73	в виде	2	2
74	света в	2	2
75	не было	3	2
76	из них	3	2
77	например в	2	2
78	в эту	2	2
79	в сочетании	2	2
80	в его	13	2
81	и с	4	2
