N	2gram	Trubetskoy_1	formyVre
1	и в	26	50
2	то есть	4	33
3	в этом	15	25
4	в нем	4	24
5	прежде всего	2	15
6	и не	8	14
7	в его	5	13
8	по существу	2	12
9	так и	6	12
10	может быть	10	11
11	таким образом	22	11
12	то же	4	11
13	и как	3	10
14	но в	7	10
15	в конце	6	9
16	в том	11	9
17	же время	2	9
18	все эти	6	9
19	в других	3	9
20	в то	4	9
21	не только	10	9
22	с его	2	9
23	в самом	4	8
24	но и	9	8
25	и на	2	8
26	того же	6	8
27	жизни и	2	8
28	не было	2	7
29	все же	6	6
30	не может	4	6
31	лишь в	5	6
32	так же	5	6
33	в результате	3	6
34	так как	9	6
35	и все	2	6
36	связи с	9	6
37	во всех	2	6
38	то что	7	6
39	что в	9	5
40	и другие	3	5
41	в образе	2	5
42	не в	2	5
43	в связи	3	5
44	в разных	2	5
45	точки зрения	13	5
46	но все	7	5
47	если бы	3	5
48	но не	8	5
49	еще не	2	5
50	он не	4	5
51	не могло	2	5
52	отношению к	3	5
53	того чтобы	5	5
54	для того	5	5
55	и у	8	5
56	том числе	5	4
57	в своем	3	4
58	в котором	4	4
59	все это	6	4
60	между этими	2	4
61	не имеет	5	4
62	потому что	7	4
63	и с	10	4
64	в них	2	4
65	конечно не	2	4
66	и проч	2	4
67	в процессе	2	4
68	том что	7	4
69	и для	5	4
70	только в	4	4
71	и это	2	4
72	не могут	2	3
73	в этих	4	3
74	в отношении	6	3
75	к тому	6	3
76	с тем	18	3
77	при этом	3	3
78	в виду	2	3
79	один из	2	3
80	со всеми	2	3
81	этом отношении	2	3
82	с одной	7	3
83	именно в	2	3
84	в одно	2	3
85	а в	4	3
86	и те	3	3
87	сказать что	2	3
88	одно из	2	3
89	в начале	2	3
90	в одном	3	3
91	к этому	3	3
92	к концу	3	3
93	в качестве	3	3
94	одной из	5	3
95	и потому	6	3
96	что и	6	3
97	вместе с	15	3
98	сих пор	5	3
99	а не	5	3
100	в таком	3	3
101	с другими	4	3
102	во всяком	6	3
103	героев и	2	3
104	совершенно иной	2	3
105	в себе	6	3
106	этими двумя	2	3
107	до сих	5	3
108	уже в	2	2
109	самого начала	2	2
110	же как	3	2
111	никогда не	5	2
112	в течение	4	2
113	с другой	8	2
114	и нет	3	2
115	что все	4	2
116	или иной	2	2
117	его от	2	2
118	тому же	5	2
119	с самого	3	2
120	числе и	4	2
121	в свою	2	2
122	для него	3	2
123	одной стороны	7	2
124	к жизни	5	2
125	не к	2	2
126	отношение к	5	2
127	выход из	2	2
128	те же	2	2
129	можно только	2	2
130	в самой	2	2
131	того что	3	2
132	и даже	3	2
133	и по	4	2
134	к ним	3	2
135	в которых	4	2
136	друг на	2	2
137	той или	2	2
138	и является	2	2
139	на друга	2	2
140	что мы	2	2
141	мы должны	6	2
142	друг за	3	2
143	для всех	2	2
144	сравнению с	2	2
145	не как	2	2
146	тогда когда	2	2
147	ясно что	3	2
148	и к	5	2
149	жизни по	2	2
150	иной характер	2	2
151	а также	2	2
152	стадии развития	2	2
153	по сравнению	2	2
154	к другу	2	2
155	как бы	12	2
156	быть и	2	2
157	оказывается что	3	2
158	уже не	3	2
159	в значительной	3	2
160	с точки	6	2
161	хотя бы	3	2
162	в которой	3	2
163	у них	3	2
164	можно назвать	2	2
165	далеко не	4	2
166	попадает в	4	2
167	но по	3	2
