N	2gram	Bakhtin_Fr_1	Problema
1	и в	65	30
2	в своей	5	22
3	то есть	45	21
4	то что	3	18
5	не только	10	18
6	том что	6	17
7	в этом	15	17
8	и даже	8	14
9	но и	10	13
10	потому что	5	13
11	в том	16	12
12	в его	9	12
13	и не	22	12
14	о том	2	12
15	в своем	8	11
16	для нас	4	10
17	точки зрения	7	10
18	в этой	4	10
19	все же	6	9
20	сказать что	6	9
21	но в	14	9
22	и вообще	3	9
23	только в	7	9
24	и все	5	9
25	вовсе не	18	8
26	хотя и	2	8
27	с точки	3	8
28	никогда не	6	7
29	что он	3	7
30	как и	5	7
31	в дальнейшем	8	7
32	связи с	4	7
33	но не	2	7
34	может быть	6	7
35	на землю	3	7
36	так и	10	7
37	до нас	3	7
38	не в	4	7
39	с другой	3	6
40	прежде всего	11	6
41	можно сказать	2	6
42	уже не	3	6
43	несмотря на	2	6
44	и для	2	6
45	как бы	22	6
46	в нем	13	6
47	и его	10	6
48	и на	11	6
49	его в	7	6
50	так как	6	6
51	что в	3	5
52	в самом	4	5
53	и их	3	5
54	не может	3	5
55	не просто	3	5
56	в году	6	5
57	и у	6	5
58	он и	3	5
59	как раз	3	5
60	и с	3	5
61	еще и	5	4
62	в частности	5	4
63	жизни в	5	4
64	нового времени	13	4
65	но все	3	4
66	при этом	6	4
67	а его	2	4
68	разного рода	3	4
69	и к	4	4
70	и он	2	4
71	или в	2	4
72	даже и	3	4
73	в себе	3	4
74	далеко не	3	4
75	в противоположность	2	3
76	в самой	3	3
77	и другие	8	3
78	еще более	5	3
79	в отношении	6	3
80	в духе	8	3
81	же в	2	3
82	в ее	3	3
83	еще не	6	3
84	одной стороны	2	3
85	новое время	3	3
86	он не	2	3
87	в новое	3	3
88	с одной	2	3
89	того что	2	3
90	в эпоху	9	3
91	к нему	3	3
92	есть только	2	3
93	в других	3	3
94	быть только	2	3
95	в ней	6	3
96	с ним	3	3
97	в одном	5	3
98	в виду	3	3
99	мира в	3	3
100	поэтому и	4	2
101	не могут	3	2
102	мы будем	3	2
103	это уже	4	2
104	и без	2	2
105	в них	5	2
106	том числе	10	2
107	как в	5	2
108	это не	3	2
109	раз и	2	2
110	значение и	2	2
111	здесь в	8	2
112	к тому	2	2
113	как мы	6	2
114	он был	2	2
115	значительной мере	2	2
116	да и	2	2
117	из всех	2	2
118	мы и	3	2
119	кроме того	2	2
120	до сих	4	2
121	и человека	2	2
122	в большей	5	2
123	в это	2	2
124	жизни и	7	2
125	что не	2	2
126	на его	2	2
127	в заключение	2	2
128	но для	3	2
129	не к	2	2
130	из них	4	2
131	на него	2	2
132	наряду с	2	2
133	и до	4	2
134	отношение к	4	2
135	которого мы	2	2
136	все эти	10	2
137	или к	2	2
138	самом деле	3	2
139	в значительной	6	2
140	земли и	5	2
141	в таком	2	2
142	по его	3	2
143	не входит	2	2
144	между тем	5	2
145	это время	2	2
146	по своей	3	2
147	его на	2	2
148	в таких	2	2
149	из тех	2	2
150	дело в	2	2
151	есть в	5	2
152	мира и	4	2
153	в чем	2	2
154	в области	7	2
155	ничего не	3	2
156	в мир	2	2
157	сих пор	4	2
