N	3gram	Tiupa_Anal_1	Hudozhes
1	по отношению к	5	10
2	в отличие от	6	7
3	в то же	8	6
4	то же время	6	6
5	не сводится к	2	6
6	той или иной	6	5
7	в том что	9	5
8	с другой стороны	2	5
9	состоит в том	3	4
10	и того же	2	3
11	одного и того	2	3
12	в конечном счете	4	3
13	с точки зрения	4	3
14	организации художественного текста	2	3
15	того или иного	3	3
16	мы имеем дело	4	2
17	в том числе	3	2
18	в коем случае	2	2
19	коем случае не	2	2
20	в той или	3	2
21	в таком случае	3	2
22	в силу своей	2	2
23	с одной стороны	3	2
24	себя в другом	3	2
25	в равной степени	2	2
26	в основе своей	2	2
27	факторов художественного впечатления	5	2
28	ни в коем	2	2
29	в том и	2	2
30	для того чтобы	3	2
