N	2gram	Tiupa_Teor_1	KFilosof
1	может быть	17	43
2	в его	6	39
3	в нем	4	31
4	не может	4	27
5	и не	13	26
6	по отношению	4	25
7	и в	18	22
8	отношению к	4	21
9	в себе	9	21
10	для меня	2	20
11	в ее	5	17
12	а не	9	17
13	и его	8	17
14	только в	6	16
15	точки зрения	9	13
16	в этом	8	13
17	ни в	2	12
18	для него	2	12
19	но не	9	12
20	и это	2	12
21	все эти	2	11
22	в своей	6	11
23	не в	7	11
24	в своем	4	10
25	это не	2	10
26	все это	2	10
27	от себя	3	10
28	с точки	3	10
29	в целом	3	9
30	но и	9	9
31	в их	2	9
32	как бы	5	9
33	и для	2	9
34	лишь в	6	8
35	если бы	3	8
36	со стороны	2	8
37	на основе	2	7
38	и здесь	2	7
39	вовсе не	3	7
40	что и	2	7
41	то что	3	7
42	себя в	6	7
43	в себя	3	7
44	я не	2	6
45	в том	16	6
46	отношение к	5	6
47	в мире	19	6
48	отнюдь не	3	6
49	он не	3	6
50	уже не	4	6
51	никогда не	4	5
52	то же	7	5
53	в контексте	3	5
54	именно в	3	5
55	в основе	3	5
56	его в	2	5
57	но в	9	5
58	эстетического созерцания	3	5
59	не знает	3	5
60	жизни в	2	5
61	как и	4	5
62	не только	16	5
63	мы имеем	7	5
64	жизни как	4	5
65	времени и	2	4
66	место в	5	4
67	что в	9	4
68	при этом	12	4
69	ценностного центра	3	4
70	между тем	5	4
71	в одном	2	4
72	том что	9	4
73	а в	13	4
74	тем самым	4	4
75	и т.д	3	4
76	во мне	2	3
77	не менее	4	3
78	в данный	2	3
79	в свою	3	3
80	в виду	5	3
81	и тем	3	3
82	того что	4	3
83	в то	6	3
84	того или	3	3
85	этом смысле	2	3
86	или иного	3	3
87	данный момент	2	3
88	в акте	2	3
89	по своему	2	3
90	могла бы	2	3
91	еще не	4	3
92	быть и	2	3
93	к чему	2	3
94	могут быть	4	3
95	в момент	2	3
96	в другом	3	3
97	слова в	2	2
98	а с	3	2
99	ни был	2	2
100	прежде всего	2	2
101	или иной	4	2
102	тем не	3	2
103	и как	2	2
104	соответствии с	2	2
105	же время	5	2
106	ценностный центр	2	2
107	тому что	2	2
108	как к	2	2
109	мышления и	2	2
110	свою жизнь	2	2
111	в принципе	4	2
112	потому что	3	2
113	имеем в	3	2
114	говорить о	3	2
115	я и	2	2
116	в единое	3	2
117	ни к	3	2
118	с его	5	2
119	и то	2	2
120	в жизни	2	2
121	и того	3	2
122	в соответствии	3	2
123	жить и	2	2
124	не будет	2	2
125	в качестве	24	2
126	или иным	3	2
127	этом мире	2	2
128	и потому	2	2
129	этого слова	3	2
130	жизни но	2	2
131	дело не	2	2
132	так и	10	2
133	как в	5	2
134	сводится к	5	2
135	в данном	8	2
136	в этой	3	2
137	отношении к	2	2
138	дело в	2	2
139	в области	4	2
