N	2gram	Bakhtin_Pr_1	Myslijsy
1	то есть	46	42
2	и в	38	39
3	может быть	26	27
4	в том	8	26
5	только в	13	25
6	что в	7	22
7	не может	27	22
8	а не	5	21
9	не только	9	21
10	в нем	15	20
11	но и	9	20
12	и не	42	18
13	том что	3	16
14	не в	7	15
15	в этом	15	15
16	если бы	3	14
17	отношению к	19	13
18	так и	5	13
19	по отношению	21	13
20	в себе	4	13
21	таким образом	10	13
22	было бы	8	12
23	есть только	2	11
24	что не	4	10
25	не есть	6	10
26	то что	8	10
27	как в	4	10
28	и что	2	10
29	могут быть	5	9
30	как и	7	9
31	тем что	2	9
32	но в	4	9
33	но не	12	8
34	язык в	2	8
35	того что	2	8
36	в слове	3	8
37	точки зрения	8	8
38	с другой	7	7
39	должно быть	5	7
40	в ней	4	7
41	в истории	2	7
42	должны быть	4	7
43	это не	5	7
44	в этих	2	7
45	не менее	4	6
46	независимо от	13	6
47	тем не	3	6
48	и как	8	6
49	еще не	7	6
50	как бы	22	6
51	что и	2	6
52	все же	6	6
53	и т	14	6
54	бы не	2	6
55	то же	5	6
56	при этом	5	6
57	языка в	3	6
58	души и	2	5
59	вовсе не	2	5
60	языка как	2	5
61	несмотря на	3	5
62	но это	3	5
63	и потому	4	5
64	в его	43	5
65	другой стороны	4	5
66	во всех	11	5
67	не имеют	2	5
68	а в	6	5
69	и для	11	5
70	не имеет	9	5
71	и его	16	5
72	в таком	3	5
73	не следует	2	5
74	между тем	7	5
75	быть только	5	5
76	не могут	2	4
77	никогда не	5	4
78	тем самым	4	4
79	этом смысле	3	4
80	прежде всего	13	4
81	не более	2	4
82	в свою	2	4
83	а только	2	4
84	от него	3	4
85	же время	3	4
86	в своих	2	4
87	в каждом	2	4
88	т п	13	4
89	не было	2	4
90	и других	2	4
91	и даже	3	4
92	в более	4	4
93	во всем	2	4
94	в то	4	4
95	слова и	3	4
96	там где	6	4
97	в самой	2	3
98	что это	2	3
99	в них	5	3
100	столь же	2	3
101	оно не	3	3
102	и во	2	3
103	и от	3	3
104	и это	3	3
105	что все	2	3
106	со словом	5	3
107	о котором	2	3
108	в своем	5	3
109	в противном	3	3
110	мы увидим	3	3
111	она не	2	3
112	одной стороны	3	3
113	по поводу	2	3
114	в своей	7	3
115	относится к	4	3
116	для того	2	3
117	помнить что	3	3
118	и тем	3	3
119	в мире	3	3
120	связи с	2	3
121	в самом	7	3
122	на него	3	3
123	словом но	2	3
124	то ни	3	3
125	с одной	3	3
126	с ним	5	3
127	должна быть	4	3
128	языка но	2	3
129	тем как	5	3
130	сказать что	4	3
131	хотя и	3	3
132	он не	3	3
133	и при	2	3
134	противном случае	3	3
135	и вообще	2	3
136	с точки	6	3
137	мы должны	2	3
138	и все	3	3
139	к которому	4	3
140	она может	3	3
141	том как	2	3
142	и с	17	3
143	но как	2	3
144	слова в	7	2
145	мы будем	3	2
146	и более	2	2
147	и есть	2	2
148	в единстве	12	2
149	их и	2	2
150	все они	5	2
151	нуждается в	2	2
152	он должен	2	2
153	но с	3	2
154	в применении	3	2
155	бы то	3	2
156	была бы	2	2
157	связь с	3	2
158	не можем	2	2
159	на то	2	2
160	только по	4	2
161	а как	3	2
162	слова но	3	2
163	как мы	7	2
164	о которых	2	2
165	ни было	3	2
166	у нас	2	2
167	переходим к	2	2
168	есть не	2	2
169	чем в	2	2
170	все что	3	2
171	того чтобы	2	2
172	мы в	3	2
173	за пределы	12	2
174	вопроса о	3	2
175	имеет место	5	2
176	ни одна	2	2
177	и о	5	2
178	в виду	4	2
179	но совершенно	2	2
180	для нее	8	2
181	лица и	2	2
182	не все	2	2
183	не нуждается	2	2
184	в целом	3	2
185	слова не	3	2
186	только при	2	2
187	в их	10	2
188	и только	4	2
189	что оно	2	2
190	применении к	3	2
191	или в	2	2
192	хотя бы	4	2
193	и должно	3	2
194	в таких	2	2
195	том же	2	2
196	в начале	2	2
197	все то	3	2
198	познания и	30	2
199	о том	4	2
200	дело в	2	2
201	не могли	2	2
202	в других	4	2
203	и которые	2	2
204	мы можем	6	2
