N	2gram	Losev_Prob_5	StatiiOP
1	и в	30	25
2	в этом	17	24
3	в том	12	20
4	что в	5	19
5	что он	7	19
6	может быть	7	19
7	тем что	2	19
8	том что	17	15
9	в этой	10	14
10	в его	12	12
11	то что	18	12
12	не только	18	12
13	так что	11	11
14	прежде всего	6	10
15	таким образом	13	10
16	и не	12	10
17	у него	11	9
18	но и	13	9
19	о том	12	8
20	это не	2	7
21	что касается	3	7
22	было бы	4	7
23	не может	5	7
24	точки зрения	10	7
25	в то	4	7
26	в конце	8	6
27	не в	7	6
28	только в	9	6
29	как бы	6	6
30	как в	2	6
31	а в	6	6
32	и на	6	6
33	в трагедии	4	6
34	в русской	3	6
35	в области	2	6
36	между тем	2	6
37	то же	2	5
38	в них	2	5
39	потому что	13	5
40	с другой	6	5
41	на то	2	5
42	ни в	4	5
43	об этом	4	5
44	такого рода	2	5
45	в котором	2	5
46	в году	5	5
47	а не	5	5
48	того что	3	5
49	другой стороны	6	5
50	он не	3	5
51	обстоятельство что	2	5
52	так и	7	5
53	мы имеем	2	5
54	но в	9	5
55	с тем	5	4
56	всяком случае	2	4
57	по крайней	4	4
58	этом смысле	3	4
59	была бы	2	4
60	в смысле	4	4
61	крайней мере	4	4
62	у нас	7	4
63	как и	7	4
64	в начале	3	4
65	что здесь	2	4
66	в качестве	4	4
67	можно сказать	6	4
68	и к	4	4
69	на его	2	4
70	он говорит	2	4
71	в ней	3	4
72	а также	3	4
73	и тем	3	4
74	в своей	22	4
75	отношение к	2	4
76	из этого	4	4
77	этой трагедии	3	4
78	с точки	8	4
79	в чем	2	4
80	к нему	3	4
81	и для	6	4
82	и с	5	4
83	стиль трагедии	2	4
84	время как	3	4
85	сказать что	9	4
86	во всяком	2	4
87	все же	9	4
88	в которой	5	4
89	то время	3	4
90	ничего не	2	4
91	уже в	2	3
92	и более	2	3
93	в какой	2	3
94	к этому	2	3
95	в стихотворении	14	3
96	он был	2	3
97	с этой	2	3
98	и что	6	3
99	кроме того	2	3
100	одной стороны	3	3
101	несмотря на	6	3
102	конце концов	6	3
103	все эти	2	3
104	нет никакого	3	3
105	по этому	2	3
106	как раз	5	3
107	в связи	7	3
108	что этот	5	3
109	по мнению	2	3
110	уже не	6	3
111	не так	4	3
112	и его	6	3
113	у которого	2	3
114	в виде	10	3
115	но он	5	3
116	в другом	3	3
117	связи с	7	3
118	так как	6	3
119	а с	4	2
120	он хочет	2	2
121	все время	3	2
122	при помощи	6	2
123	не менее	5	2
124	никогда не	7	2
125	и у	5	2
126	что у	5	2
127	как о	4	2
128	в одной	2	2
129	тогда когда	4	2
130	в духе	3	2
131	представляет собою	2	2
132	вовсе не	8	2
133	что именно	2	2
134	от них	2	2
135	к тому	2	2
136	как мы	2	2
137	без всякого	2	2
138	трагедии и	2	2
139	что его	3	2
140	но все	4	2
141	что они	3	2
142	есть в	2	2
143	но не	7	2
144	того же	4	2
145	в свою	2	2
146	до сих	2	2
147	только тогда	3	2
148	еще не	3	2
149	в это	2	2
150	он считает	2	2
151	в самом	5	2
152	в виду	3	2
153	гораздо более	4	2
154	один из	2	2
155	тем не	5	2
156	и за	2	2
157	вместе с	7	2
158	сих пор	2	2
159	ее в	2	2
160	и прочие	2	2
161	до нас	7	2
162	и тогда	2	2
163	внимание на	3	2
164	нас не	3	2
165	этому поводу	2	2
166	и только	2	2
167	в отношении	3	2
168	с одной	3	2
169	не просто	5	2
170	мы находим	7	2
171	не мог	4	2
172	самом деле	2	2
173	во втором	2	2
174	для того	3	2
175	в драме	2	2
176	что не	2	2
177	его не	2	2
178	мы не	2	2
179	или в	4	2
180	этот образ	2	2
181	можно найти	6	2
182	тем как	2	2
183	в результате	7	2
184	то и	2	2
185	он и	5	2
186	и которые	2	2
187	то есть	21	2
