N	2gram	Potebnia_M_4	Sovremen
1	не может	11	17
2	точки зрения	4	12
3	может быть	26	12
4	таким образом	24	11
5	мы не	8	9
6	в каждом	3	8
7	не можем	5	7
8	в этом	23	7
9	и в	23	7
10	каждый раз	4	6
11	и не	18	6
12	как и	14	6
13	мы можем	10	6
14	что же	5	5
15	все эти	3	5
16	с точки	3	5
17	как бы	5	4
18	если мы	2	4
19	вместе с	6	4
20	это не	7	4
21	а в	5	4
22	вопрос о	2	4
23	не только	10	4
24	в том	23	4
25	их в	3	4
26	мы должны	2	4
27	так как	14	4
28	уже в	5	3
29	но мы	2	3
30	самого начала	2	3
31	все это	5	3
32	в наших	2	3
33	то же	14	3
34	в нем	7	3
35	а не	12	3
36	и к	6	3
37	для нас	14	3
38	у нас	2	3
39	когда мы	6	3
40	не в	11	3
41	так называемых	3	3
42	еще не	3	3
43	при этом	15	3
44	было бы	8	3
45	и мы	5	3
46	в одном	4	3
47	и все	4	3
48	в первом	3	3
49	в себе	14	3
50	в области	2	3
51	что она	2	3
52	но в	8	3
53	и потому	10	3
54	так сказать	5	2
55	же мы	2	2
56	может иметь	2	2
57	не могут	2	2
58	не знаем	2	2
59	что это	7	2
60	не менее	5	2
61	и есть	3	2
62	в виде	2	2
63	можно назвать	2	2
64	быть и	2	2
65	в нашем	2	2
66	на котором	4	2
67	то и	4	2
68	из этих	2	2
69	из одного	3	2
70	что все	4	2
71	еще более	2	2
72	как мы	2	2
73	уже не	3	2
74	в свою	2	2
75	самом деле	3	2
76	и что	7	2
77	из которых	2	2
78	что такое	7	2
79	на этот	2	2
80	и даже	2	2
81	и по	3	2
82	тем не	4	2
83	той же	3	2
84	мы видим	2	2
85	в таком	4	2
86	во всяком	5	2
87	могут быть	7	2
88	с этим	7	2
89	и они	2	2
90	что в	17	2
91	говорить о	5	2
92	такие же	5	2
93	тот же	2	2
94	же самое	4	2
95	если же	4	2
96	на его	3	2
97	в самом	3	2
98	в которой	6	2
99	в науке	3	2
100	в его	5	2
101	всяком случае	3	2
