N	2gram	Tiupa_Lite_3	Vladivir
1	и в	16	30
2	в году	5	24
3	то что	12	20
4	в этом	14	20
5	в том	12	18
6	и не	22	18
7	и с	2	14
8	что он	5	13
9	в конце	2	13
10	том что	8	12
11	что в	2	12
12	не только	14	12
13	в его	6	11
14	а в	5	11
15	как мы	2	11
16	а также	4	10
17	и даже	2	10
18	не в	10	9
19	для него	2	9
20	было бы	2	9
21	все же	2	9
22	потому что	3	9
23	не может	8	9
24	в то	9	9
25	связи с	2	8
26	вместе с	5	8
27	но и	14	8
28	но в	3	8
29	не менее	2	7
30	никогда не	4	7
31	точки зрения	7	7
32	до конца	4	7
33	может быть	12	7
34	а не	12	7
35	как это	3	7
36	то есть	5	7
37	еще и	2	6
38	хотя и	4	6
39	к этому	2	6
40	прежде всего	3	6
41	и к	3	6
42	у нас	2	6
43	только в	7	6
44	в себе	6	6
45	жизни и	3	6
46	а именно	5	6
47	и его	6	6
48	о чем	3	6
49	по себе	2	5
50	как и	5	5
51	то в	3	5
52	при этом	15	5
53	того же	2	5
54	в своей	7	5
55	как бы	8	5
56	для себя	2	5
57	так и	9	5
58	того что	9	5
59	с его	6	4
60	именно в	5	4
61	с этой	2	4
62	я не	2	4
63	его в	2	4
64	можно сказать	2	4
65	в этой	8	4
66	в целом	5	4
67	мы с	2	4
68	и если	4	4
69	на его	3	4
70	несмотря на	2	4
71	в нем	2	4
72	то это	2	4
73	время в	2	4
74	со стороны	7	4
75	то же	9	4
76	и наконец	3	4
77	так же	2	4
78	той же	3	4
79	и на	2	4
80	в начале	4	4
81	о том	6	4
82	здесь не	2	4
83	отношение к	2	4
84	для меня	2	4
85	едва ли	3	3
86	же время	7	3
87	в свою	2	3
88	что и	2	3
89	по существу	4	3
90	и как	3	3
91	своей жизни	2	3
92	что я	5	3
93	но не	4	3
94	он и	2	3
95	в данном	4	3
96	и для	4	3
97	вплоть до	2	3
98	так или	2	3
99	с точки	3	3
100	во всех	2	3
101	как в	5	3
102	им в	2	3
103	в отличие	5	3
104	отношения к	3	3
105	и вот	2	3
106	уже не	3	3
107	должно быть	4	3
108	наконец в	3	3
109	отличие от	5	3
110	или иначе	2	3
111	я в	7	3
112	не говоря	4	3
113	владимира соловьева	4	3
114	в области	3	3
115	как у	4	2
116	с которой	2	2
117	еще в	3	2
118	однако в	4	2
119	жизни в	4	2
120	это не	5	2
121	если не	2	2
122	к тому	6	2
123	он все	2	2
124	же в	2	2
125	в стихотворении	6	2
126	и сам	2	2
127	во второй	2	2
128	такого рода	10	2
129	в самом	3	2
130	не могу	2	2
131	в частности	11	2
132	том чтобы	2	2
133	ни с	2	2
134	на то	2	2
135	и потому	2	2
136	о нем	2	2
137	не вполне	2	2
138	для того	2	2
139	полемика с	2	2
140	даже в	4	2
141	еще один	2	2
142	говоря уже	4	2
143	но уже	3	2
144	себя в	7	2
145	с ней	2	2
146	бытия в	2	2
147	данном случае	4	2
148	годов в	2	2
149	того чтобы	2	2
150	что не	2	2
151	те кто	3	2
152	в своих	2	2
153	в работе	2	2
154	и при	2	2
155	еще на	2	2
156	как будто	4	2
157	и жизни	3	2
158	уже о	3	2
159	я и	10	2
