N	3gram	Vygotskiy__5	Myshleni
1	в том что	14	21
2	с точки зрения	2	18
3	для того чтобы	19	10
4	с одной стороны	12	7
5	заключается в том	6	7
6	в зависимости от	6	6
7	на то что	16	6
8	не может быть	2	6
9	по сравнению с	4	5
10	на этот вопрос	3	5
11	можно было бы	3	5
12	в самом деле	5	4
13	о том что	6	4
14	мы могли бы	4	4
15	а с другой	4	4
16	из того что	3	4
17	в том чтобы	2	4
18	в учении о	3	4
19	в данном случае	2	3
20	с таким образом	2	3
21	по этому поводу	4	3
22	в отличие от	2	3
23	в этом отношении	3	3
24	состоит в том	2	3
25	если бы мы	2	2
26	мы увидим что	6	2
27	то что он	3	2
28	потому что он	2	2
29	то же самое	3	2
30	является то что	2	2
31	мы видим в	2	2
32	друг от друга	2	2
33	само по себе	2	2
34	мы должны будем	2	2
35	и в самом	2	2
36	нам думается что	2	2
37	на самом деле	2	2
38	вопрос о том	2	2
39	друг с другом	3	2
