N	2gram	Nazirov_Vr_1	FransuaR
1	и в	8	41
2	и т.п	2	19
3	таким образом	2	17
4	в нем	6	16
5	и с	6	16
6	и его	3	13
7	но и	7	13
8	в этом	8	12
9	все это	4	11
10	не только	9	10
11	то что	7	10
12	во время	2	9
13	и все	7	9
14	о том	4	9
15	никогда не	2	8
16	в этой	2	8
17	но в	6	8
18	у него	5	7
19	в них	2	7
20	том что	3	7
21	как бы	4	7
22	как и	6	7
23	что в	7	7
24	в его	3	7
25	что он	4	6
26	в году	18	6
27	вместе с	2	6
28	в то	5	6
29	то же	5	5
30	с его	3	5
31	так же	4	5
32	же время	5	5
33	и он	2	5
34	а также	2	5
35	из них	2	5
36	в своем	3	5
37	рядом с	2	5
38	в той	2	5
39	и что	8	5
40	тем что	3	5
41	но он	3	5
42	в себе	2	5
43	уже в	4	4
44	он был	3	4
45	и как	3	4
46	в ней	4	4
47	в котором	6	4
48	все же	6	4
49	не может	2	4
50	и даже	6	4
51	одним из	3	4
52	а в	2	4
53	с ним	4	4
54	он сам	2	3
55	на первый	2	3
56	но это	2	3
57	в начале	6	3
58	не мог	2	3
59	в него	2	3
60	при этом	4	3
61	и не	5	3
62	в чем	3	3
63	и во	3	2
64	в конце	3	2
65	и образы	2	2
66	этот роман	2	2
67	человека с	2	2
68	для нас	4	2
69	в том	3	2
70	раз в	3	2
71	тем более	2	2
72	связи с	3	2
73	может быть	4	2
74	в своей	2	2
75	он не	3	2
76	в эти	2	2
77	как раз	2	2
78	в истории	4	2
79	и у	3	2
80	с точки	2	2
81	к себе	2	2
82	и то	2	2
83	их в	2	2
84	между тем	5	2
85	точки зрения	2	2
86	начиная с	2	2
87	в эту	2	2
88	в романе	6	2
