N	2gram	Bakhtin_Pr_3	Sovremen
1	не может	19	17
2	точки зрения	8	12
3	может быть	19	12
4	таким образом	5	11
5	в каждом	3	8
6	в этом	16	7
7	и в	34	7
8	и не	29	6
9	как и	18	6
10	ничего не	4	6
11	что же	8	5
12	прежде всего	15	5
13	все эти	4	5
14	и наконец	5	5
15	с точки	4	5
16	как бы	27	4
17	нет и	3	4
18	мы видели	3	4
19	в целом	5	4
20	жизни и	3	4
21	вместе с	4	4
22	это не	5	4
23	а в	5	4
24	вопрос о	2	4
25	не только	10	4
26	в том	3	4
27	их в	3	4
28	из них	5	4
29	мы должны	5	4
30	так как	4	4
31	уже в	3	3
32	самого начала	8	3
33	все же	7	3
34	отнюдь не	2	3
35	он может	2	3
36	все это	16	3
37	отличается от	2	3
38	в конце	5	3
39	то же	14	3
40	в нем	19	3
41	а не	9	3
42	и к	12	3
43	с самого	8	3
44	не в	9	3
45	еще не	4	3
46	он в	4	3
47	при этом	4	3
48	было бы	2	3
49	в одном	5	3
50	и все	19	3
51	как он	3	3
52	в себе	6	3
53	но в	16	3
54	и потому	2	3
55	так сказать	2	2
56	что это	5	2
57	не менее	3	2
58	в виде	4	2
59	для его	2	2
60	у него	4	2
61	быть и	2	2
62	и во	3	2
63	в отличие	2	2
64	что все	4	2
65	еще более	2	2
66	как мы	7	2
67	уже не	2	2
68	или иной	2	2
69	самом деле	13	2
70	и что	5	2
71	что такое	2	2
72	к чему	2	2
73	и даже	7	2
74	тем не	2	2
75	мы знаем	2	2
76	он должен	2	2
77	той же	2	2
78	конечно в	2	2
79	то ни	4	2
80	только так	2	2
81	но все	5	2
82	такой же	3	2
83	во всяком	5	2
84	на этом	4	2
85	с этим	2	2
86	теперь же	2	2
87	что в	7	2
88	говорить о	3	2
89	с другом	2	2
90	тот же	2	2
91	со всеми	2	2
92	которой он	2	2
93	на его	4	2
94	в самом	8	2
95	друг с	2	2
96	в которой	2	2
97	отличие от	2	2
98	в его	22	2
99	всяком случае	5	2
100	все те	2	2
