N	2gram	Losev_Dial_2	Narrotol
1	не только	19	26
2	а не	16	17
3	но и	12	15
4	в том	14	14
5	при этом	4	14
6	и не	30	14
7	том что	10	13
8	и в	19	13
9	в этом	8	13
10	в частности	2	11
11	только в	5	11
12	может быть	20	10
13	в данном	3	10
14	к тому	2	9
15	так и	10	9
16	а в	4	9
17	то что	14	8
18	в себе	15	8
19	не может	9	8
20	не в	8	8
21	никогда не	9	6
22	в своем	4	6
23	в жизни	2	6
24	прежде всего	8	6
25	можно сказать	5	6
26	и к	7	6
27	того что	6	6
28	данном случае	2	6
29	все же	4	6
30	как бы	14	6
31	ничего не	3	6
32	но в	2	6
33	точки зрения	12	5
34	тем не	2	5
35	что он	6	5
36	он не	4	5
37	я не	6	5
38	в нем	10	5
39	на него	2	5
40	как в	2	5
41	таким образом	4	5
42	с одной	2	5
43	в той	3	5
44	с другой	5	5
45	в то	6	5
46	о том	5	5
47	перед нами	2	4
48	что это	10	4
49	не менее	3	4
50	отнюдь не	6	4
51	в конце	2	4
52	об этом	3	4
53	же в	2	4
54	как и	10	4
55	времени и	9	4
56	что в	7	4
57	и уже	3	4
58	жизни и	6	4
59	в своей	8	4
60	в ее	4	4
61	то же	12	4
62	в какой	2	4
63	уже не	3	4
64	в мире	2	4
65	в силу	5	4
66	в другом	4	4
67	все его	3	4
68	в этой	3	4
69	и все	12	4
70	как это	7	4
71	с ним	4	4
72	тому что	2	3
73	мы имеем	3	3
74	это не	10	3
75	да и	6	3
76	что я	2	3
77	что они	6	3
78	о котором	3	3
79	но не	6	3
80	же время	5	3
81	того или	2	3
82	как раз	5	3
83	и когда	4	3
84	той или	4	3
85	только к	2	3
86	все эти	2	3
87	самом деле	4	3
88	и даже	14	3
89	и по	4	3
90	и его	5	3
91	в таком	4	3
92	с ними	2	3
93	сказать что	10	3
94	между тем	2	3
95	по своей	4	3
96	не обязательно	5	2
97	зависит от	2	2
98	в душе	7	2
99	же как	3	2
100	только не	2	2
101	о чем	3	2
102	одно из	4	2
103	личности в	8	2
104	а потом	4	2
105	что у	2	2
106	хотя бы	4	2
107	я уже	2	2
108	и пространства	2	2
109	с нею	3	2
110	вовсе не	13	2
111	и т	17	2
112	эти два	2	2
113	и более	3	2
114	по своему	5	2
115	должна быть	5	2
116	что с	2	2
117	еще не	4	2
118	было бы	3	2
119	себе и	3	2
120	своей природе	2	2
121	в самом	5	2
122	несмотря на	2	2
123	не могу	6	2
124	что она	14	2
125	у меня	3	2
126	что и	5	2
127	раз в	2	2
128	он может	2	2
129	себя в	2	2
130	не будет	2	2
131	и личность	2	2
132	я сам	2	2
133	от всего	2	2
134	жизни с	2	2
135	собственно говоря	2	2
136	именно в	2	2
137	на самом	2	2
138	они не	3	2
139	и что	5	2
140	только что	5	2
141	с точки	8	2
142	так же	2	2
143	или иначе	2	2
144	в чем	3	2
145	но это	7	2
146	в результате	2	2
147	в ней	2	2
148	в виде	2	2
149	мере в	2	2
150	но он	4	2
151	в своих	2	2
152	т п	2	2
153	говорить о	5	2
154	во время	2	2
155	как он	4	2
156	потому что	14	2
157	в бытии	2	2
158	в области	2	2
159	том как	2	2
160	стало быть	10	2
