N	2gram	Tiupa_Hudo_1	Literetu
1	а не	9	20
2	и в	19	19
3	может быть	14	17
4	в стихотворении	3	13
5	своего рода	5	13
6	то же	10	12
7	и не	15	11
8	и т.п	4	10
9	в том	18	10
10	как и	2	10
11	но и	10	10
12	лирический герой	5	10
13	состоит в	16	9
14	же время	5	9
15	такого рода	10	9
16	не может	7	9
17	тогда как	13	9
18	в мире	21	9
19	в этом	11	9
20	в то	6	9
21	с другой	7	8
22	не только	16	8
23	хх века	2	8
24	том что	8	7
25	то что	4	7
26	так и	11	7
27	с одной	2	7
28	я в	11	7
29	и т.д	3	7
30	слова и	2	7
31	не менее	3	6
32	однако в	4	6
33	в себе	9	6
34	одной стороны	2	6
35	при этом	13	6
36	себя в	7	6
37	и на	2	6
38	конечном счете	5	5
39	я не	2	5
40	одна из	2	5
41	но не	11	5
42	в качестве	24	5
43	он не	4	5
44	в конечном	5	5
45	так в	4	5
46	в году	2	5
47	того что	4	5
48	в принципе	5	5
49	то есть	18	5
50	в рамках	8	4
51	что в	6	4
52	в частности	13	4
53	жизни в	2	4
54	прежде всего	4	4
55	не в	7	4
56	отнюдь не	2	4
57	того же	2	4
58	для него	4	4
59	в его	9	4
60	даже в	3	4
61	один из	2	4
62	другой стороны	5	4
63	причастности к	2	4
64	по отношению	9	4
65	точки зрения	10	4
66	в искусстве	7	4
67	лирического героя	2	4
68	в русской	3	4
69	не случайно	3	4
70	в области	6	4
71	я и	7	4
72	никогда не	2	3
73	о себе	2	3
74	личности в	4	3
75	в себя	2	3
76	что он	3	3
77	в нем	5	3
78	и как	3	3
79	эстетического субъекта	3	3
80	в этой	2	3
81	эстетической деятельности	2	3
82	во всех	3	3
83	и др	2	3
84	не с	2	3
85	отношению к	9	3
86	коммуникативное событие	2	3
87	в культуре	3	3
88	со стороны	2	3
89	а именно	2	3
90	в их	5	3
91	и для	2	3
92	всего лишь	4	3
93	сознания в	3	3
94	тем самым	4	3
95	с точки	3	3
96	право на	2	3
97	а в	12	3
98	и его	12	3
99	в художественной	2	3
100	и то	4	3
101	не столько	3	3
102	я на	2	3
103	всей своей	2	3
104	в данном	4	3
105	как к	2	3
106	в другом	3	3
107	как правило	2	3
108	в равной	2	3
109	без остатка	2	3
110	том числе	2	2
111	к жизни	2	2
112	себя и	2	2
113	в нашем	2	2
114	могут служить	2	2
115	не является	4	2
116	в них	2	2
117	в какой	2	2
118	в противоположность	3	2
119	в виду	5	2
120	в одном	2	2
121	в жизни	2	2
122	вовсе не	2	2
123	как уже	2	2
124	художественного письма	5	2
125	и к	3	2
126	а также	5	2
127	жизни как	3	2
128	равной степени	2	2
129	в ее	5	2
130	системе ценностей	3	2
131	тем не	3	2
132	субъекта жизни	2	2
133	присутствия в	8	2
134	художественного творчества	4	2
135	одно и	3	2
136	еще не	3	2
137	со своей	3	2
138	одной из	2	2
139	в роли	3	2
140	как бы	9	2
141	картина мира	5	2
142	не вполне	2	2
143	духовной культуры	2	2
144	для себя	2	2
145	эстетических отношений	4	2
146	что и	2	2
147	области искусства	2	2
148	с ее	5	2
149	в целом	3	2
150	могут быть	4	2
151	по преимуществу	2	2
152	русской литературе	2	2
153	как раз	3	2
154	и одновременно	5	2
155	коммуникативной стратегии	2	2
156	способ существования	2	2
157	уже не	4	2
158	и что	3	2
159	коммуникативного события	2	2
160	для того	2	2
161	художественного мира	2	2
162	не знает	3	2
163	являет собой	3	2
164	то в	2	2
165	потому что	3	2
166	в основе	4	2
167	одно из	2	2
168	но как	2	2
169	о том	2	2
170	из тех	2	2
171	произведения искусства	4	2
172	в художественном	4	2
173	представляет собой	10	2
174	как это	5	2
175	с ним	2	2
176	но в	7	2
177	мира в	2	2
