N	2gram	Tiupa_Anal_1	Vladivir
1	и в	18	31
2	не только	15	24
3	но и	17	19
4	то что	6	18
5	и не	21	17
6	том что	12	14
7	что в	5	14
8	в этом	13	14
9	и с	2	14
10	что он	3	12
11	в его	13	12
12	но в	8	12
13	с его	3	11
14	в том	27	11
15	потому что	2	11
16	о том	5	11
17	и то	2	10
18	также и	2	10
19	он не	3	10
20	никогда не	2	9
21	как мы	2	9
22	а в	9	9
23	только в	6	9
24	и по	2	8
25	в то	9	8
26	так как	2	8
27	для него	2	7
28	о нем	3	7
29	и его	5	7
30	и к	3	6
31	можно сказать	2	6
32	в качестве	31	6
33	того же	4	6
34	и потому	2	6
35	и сам	2	6
36	может быть	29	6
37	свое время	2	6
38	в котором	3	6
39	так и	4	6
40	не может	22	6
41	то же	9	6
42	то он	2	6
43	разного рода	3	6
44	а с	3	5
45	вовсе не	2	5
46	не в	14	5
47	в свое	2	5
48	а также	3	5
49	что и	3	5
50	что же	2	5
51	с ним	4	5
52	же время	6	4
53	и все	3	4
54	в нем	3	4
55	в себе	11	4
56	как и	13	4
57	и как	5	4
58	в этой	5	4
59	по своей	6	4
60	такого рода	5	4
61	еще в	2	4
62	один из	2	4
63	в нашем	3	4
64	себя в	6	4
65	в своей	6	4
66	ни с	3	4
67	несмотря на	2	4
68	как он	3	4
69	к нему	3	4
70	в которой	2	4
71	к тому	7	3
72	отнюдь не	15	3
73	с другой	4	3
74	и просто	2	3
75	но не	10	3
76	за пределы	2	3
77	все же	4	3
78	на его	2	3
79	в целом	5	3
80	отношение к	2	3
81	вместе с	4	3
82	другой стороны	2	3
83	собственно говоря	4	3
84	таким образом	3	3
85	все эти	2	3
86	уже не	4	3
87	свидетельствует о	2	3
88	едва ли	2	3
89	и на	5	3
90	на себя	2	3
91	в начале	2	3
92	здесь не	2	3
93	то есть	11	3
94	место в	3	2
95	в частности	19	2
96	нет и	2	2
97	хотя бы	3	2
98	не столько	2	2
99	на все	2	2
100	его к	2	2
101	ни в	4	2
102	тому же	4	2
103	тем более	2	2
104	особого рода	7	2
105	на этом	2	2
106	еще не	3	2
107	при этом	12	2
108	того что	4	2
109	было бы	2	2
110	в самом	6	2
111	том чтобы	7	2
112	и о	2	2
113	одним из	3	2
114	даже в	3	2
115	для себя	2	2
116	и до	2	2
117	и т	3	2
118	из них	2	2
119	дело не	3	2
120	со стороны	2	2
121	а именно	3	2
122	как к	2	2
123	лишь в	5	2
124	тем самым	7	2
125	того чтобы	3	2
126	для того	4	2
127	что мы	3	2
128	той же	2	2
129	точки зрения	6	2
130	из этих	2	2
131	того и	3	2
132	в полной	3	2
