N	3gram	Losev_Dial_3	Problema
1	о том что	5	14
2	тем не менее	10	12
3	в таком случае	10	10
4	вовсе не есть	5	10
5	во всяком случае	2	10
6	то что мы	3	7
7	и т д	23	6
8	по крайней мере	5	6
9	так или иначе	2	6
10	с одной стороны	3	5
11	того или иного	2	5
12	с другой стороны	2	5
13	и не просто	2	5
14	что же такое	2	4
15	на то что	3	4
16	не говоря уже	2	4
17	сама по себе	4	4
18	как раз и	3	4
19	тот или иной	2	4
20	в том что	3	4
21	ни в каком	3	4
22	говоря уже о	2	4
23	и что такое	3	3
24	на первый план	4	3
25	и в этом	2	3
26	что иное как	6	3
27	точно так же	2	3
28	есть не что	3	3
29	не что иное	6	3
30	только тогда когда	3	3
31	не может быть	6	3
32	не есть ни	3	3
33	это значит что	21	3
34	есть то что	5	2
35	тем более не	2	2
36	это и есть	2	2
37	даже и не	3	2
38	в самом деле	5	2
39	а не просто	6	2
40	сами по себе	3	2
41	ни от чего	3	2
42	само по себе	5	2
43	ничем не отличается	4	2
44	ничего не знает	2	2
45	то это значит	4	2
46	крайней мере в	3	2
47	не только не	7	2
48	в крайнем случае	2	2
49	и прежде всего	3	2
50	подобно тому как	4	2
51	не есть просто	4	2
52	имеется в виду	3	2
