N	2gram	Potebnia_M_2	Myshleni
1	таким образом	11	26
2	в том	18	24
3	и в	24	23
4	том что	8	21
5	в целом	3	20
6	того чтобы	2	17
7	то что	20	17
8	в этом	8	17
9	так же	2	16
10	не только	15	16
11	того что	7	15
12	для того	5	15
13	что в	16	14
14	может быть	23	14
15	но и	9	14
16	как и	7	14
17	в его	2	14
18	не может	12	12
19	как бы	9	11
20	сказать что	2	11
21	с другой	6	10
22	прежде всего	7	10
23	одной стороны	3	9
24	другой стороны	2	9
25	и не	19	9
26	между тем	6	9
27	вместе с	11	9
28	самого начала	2	8
29	человеческой речи	5	8
30	с самого	2	8
31	с одной	4	8
32	и на	8	8
33	то же	12	8
34	мысли к	2	8
35	вопрос о	2	7
36	в самом	4	7
37	по отношению	2	7
38	в то	6	7
39	так как	10	7
40	с тем	4	7
41	что он	4	7
42	мы не	11	7
43	в другом	2	7
44	независимо от	9	6
45	столь же	5	6
46	и тем	3	6
47	от того	5	6
48	все это	2	6
49	могли бы	2	6
50	потому что	49	6
51	с этим	7	6
52	о том	5	6
53	связь между	2	6
54	и его	2	6
55	мы можем	12	6
56	тем что	7	6
57	в себе	10	6
58	только в	11	6
59	тому что	2	5
60	в какой	2	5
61	то время	4	5
62	в собственном	2	5
63	и как	6	5
64	на то	5	5
65	по себе	15	5
66	что для	3	5
67	что мы	11	5
68	мы должны	2	5
69	и все	3	5
70	бы в	2	5
71	мысли в	3	5
72	если бы	11	5
73	но в	4	5
74	что может	2	5
75	и что	4	5
76	слова и	3	5
77	так и	5	5
78	тем самым	4	5
79	но не	12	4
80	что все	2	4
81	в свою	6	4
82	только что	3	4
83	не в	13	4
84	при этом	13	4
85	что она	3	4
86	но вместе	2	4
87	время как	4	4
88	в котором	4	4
89	по мере	5	4
90	отношений между	3	4
91	все эти	2	4
92	все остальные	5	4
93	не столько	2	4
94	их в	2	4
95	с его	2	4
96	в одном	6	4
97	к этому	2	4
98	в чем	7	4
99	было бы	13	4
100	сих пор	4	4
101	как в	10	4
102	а с	2	4
103	хотя бы	2	4
104	мы видим	2	4
105	как на	3	4
106	этого слова	6	4
107	до сих	4	4
108	только для	5	3
109	уже в	5	3
110	что это	3	3
111	и от	3	3
112	из этих	4	3
113	мы называем	3	3
114	на все	3	3
115	свою очередь	6	3
116	что они	5	3
117	в общем	2	3
118	и если	4	3
119	и следовательно	2	3
120	то и	9	3
121	отношения к	2	3
122	оба эти	2	3
123	и других	2	3
124	мы находим	2	3
125	его не	3	3
126	вовсе не	9	3
127	во всем	2	3
128	как он	4	3
129	полагает что	3	3
130	тогда когда	10	3
131	всяком случае	7	3
132	смысле этого	3	3
133	превращается в	2	3
134	что оно	4	3
135	такой же	4	3
136	во всех	7	3
137	человека и	3	3
138	с таким	3	3
139	на две	2	3
140	все же	5	3
141	в природе	5	3
142	если не	4	3
143	самом деле	2	3
144	а не	18	3
145	ко всем	2	3
146	и то	3	3
147	которые не	3	3
148	во всяком	7	3
149	сам по	4	3
150	могут быть	8	3
151	в каком	3	3
152	связи с	6	3
153	факт что	2	3
154	и это	2	3
155	которое мы	3	3
156	в которой	5	3
157	на вопрос	3	2
158	никогда не	4	2
159	в нашем	2	2
160	что у	2	2
161	от них	3	2
162	бы что	2	2
163	что его	3	2
164	но все	2	2
165	на этом	2	2
166	же время	2	2
167	есть прежде	2	2
168	что с	2	2
169	для него	10	2
170	а скорее	2	2
171	внешнего мира	4	2
172	вслед за	3	2
173	хотя и	3	2
174	не имеет	6	2
175	один из	2	2
176	не с	3	2
177	звук и	6	2
178	той же	3	2
179	которых мы	3	2
180	в слове	13	2
181	и той	2	2
182	должно быть	2	2
183	а в	8	2
184	одно из	3	2
185	в словах	3	2
186	о котором	2	2
187	в этих	3	2
188	как это	2	2
189	под влиянием	8	2
190	звуком и	3	2
191	всех этих	2	2
192	главным образом	4	2
193	в них	5	2
194	в состоянии	6	2
195	того кто	3	2
196	есть не	5	2
197	только тогда	3	2
198	но тем	3	2
199	указывает на	2	2
200	одно и	2	2
201	связано с	2	2
202	за пределы	2	2
203	которые мы	3	2
204	и потому	2	2
205	на него	3	2
206	к мысли	2	2
207	того как	7	2
208	одной и	2	2
209	если мы	3	2
210	уже не	4	2
211	между ними	2	2
212	с другими	5	2
213	мысли но	2	2
214	можно назвать	2	2
215	и при	3	2
216	между двумя	6	2
217	его на	2	2
218	слова так	2	2
219	что если	6	2
220	там где	4	2
221	заметить что	6	2
222	если это	2	2
223	и поэтому	2	2
224	одном из	4	2
