N	2gram	Losev_Prob_5	Problema
1	то есть	21	46
2	в его	12	43
3	и не	12	42
4	и в	30	38
5	не может	5	27
6	может быть	7	26
7	как бы	6	22
8	по отношению	2	21
9	отнюдь не	4	19
10	отношению к	2	19
11	и с	5	17
12	и его	6	16
13	в нем	6	15
14	в этом	17	15
15	прежде всего	6	13
16	только в	9	13
17	художественного творчества	8	12
18	но не	7	12
19	ни в	4	11
20	и для	6	11
21	в области	2	11
22	к нему	3	10
23	отношение к	2	10
24	таким образом	13	10
25	не входит	2	10
26	но и	13	9
27	его в	6	9
28	не только	18	9
29	в том	12	8
30	и как	6	8
31	точки зрения	10	8
32	было бы	4	8
33	то что	18	8
34	что в	5	7
35	с другой	6	7
36	с помощью	2	7
37	не в	7	7
38	в самом	5	7
39	между тем	2	7
40	как и	7	7
41	художественное творчество	5	7
42	еще не	3	7
43	в своей	22	7
44	как мы	2	7
45	не всегда	3	6
46	не к	2	6
47	а в	6	6
48	в м	2	6
49	все же	9	6
50	самом деле	2	6
51	с точки	8	6
52	мы можем	5	6
53	ничего не	2	6
54	то же	2	5
55	в своем	11	5
56	это не	2	5
57	при этом	4	5
58	никогда не	7	5
59	все эти	2	5
60	далеко не	4	5
61	с ним	3	5
62	в них	2	5
63	конечно не	2	5
64	и о	5	5
65	так и	7	5
66	а не	5	5
67	тем как	2	5
68	быть только	3	5
69	не менее	5	4
70	в ней	3	4
71	в виду	3	4
72	другой стороны	6	4
73	данном случае	2	4
74	себя самого	2	4
75	и только	2	4
76	в других	3	4
77	сказать что	9	4
78	в то	4	4
79	о том	12	4
80	но в	9	4
81	в ее	3	4
82	как в	2	4
83	что не	2	4
84	хотя бы	2	4
85	можно было	2	4
86	в данном	2	4
87	в себе	4	4
88	здесь не	7	4
89	мы будем	2	3
90	то ни	2	3
91	тем не	5	3
92	да и	2	3
93	в дальнейшем	7	3
94	кроме того	2	3
95	одной стороны	3	3
96	несмотря на	6	3
97	хотя и	8	3
98	и тем	3	3
99	не больше	2	3
100	с одной	3	3
101	они не	2	3
102	и даже	14	3
103	и на	6	3
104	также и	12	3
105	и все	9	3
106	этом смысле	3	3
107	ясно что	4	3
108	и к	4	3
109	том что	17	3
110	бы то	2	3
111	все что	2	3
112	со всеми	2	3
113	он не	3	3
114	на него	2	3
115	в таком	2	3
116	едва ли	4	3
117	я не	2	2
118	не могут	2	2
119	и другие	3	2
120	в частности	4	2
121	в какой	2	2
122	была бы	2	2
123	на то	2	2
124	от них	2	2
125	можно сказать	6	2
126	в нашей	2	2
127	смысле слова	3	2
128	в значительной	2	2
129	в свою	2	2
130	по поводу	2	2
131	и у	5	2
132	в котором	2	2
133	в связи	7	2
134	в самой	3	2
135	и что	6	2
136	того что	3	2
137	есть только	3	2
138	его не	2	2
139	в начале	3	2
140	о котором	3	2
141	мы имеем	2	2
142	и которые	2	2
143	и более	2	2
144	раз и	2	2
145	не все	2	2
146	к этому	2	2
147	вовсе не	8	2
148	что он	7	2
149	у нас	7	2
150	по существу	2	2
151	связи с	7	2
152	здесь в	2	2
153	что и	6	2
154	бы не	3	2
155	того чтобы	2	2
156	для того	3	2
157	и он	4	2
158	форму и	2	2
159	или в	4	2
160	тем что	2	2
161	в виде	10	2
162	в другом	3	2
163	и вообще	9	2
164	в таких	2	2
165	дело в	2	2
166	в чем	2	2
