N	2gram	Propp_Morf_1	DiskursI
1	в качестве	5	34
2	не только	4	28
3	в том	6	23
4	а не	11	22
5	том что	4	19
6	тогда как	2	19
7	может быть	52	17
8	представляет собой	17	17
9	и в	13	16
10	как и	3	16
11	в этом	14	15
12	еще не	3	14
13	но и	4	14
14	прежде всего	9	11
15	но не	4	11
16	и не	12	11
17	с другой	8	10
18	как в	3	10
19	далеко не	5	10
20	в частности	2	9
21	состоит в	2	9
22	отношению к	4	9
23	по отношению	4	9
24	не может	14	9
25	а также	4	8
26	так и	6	8
27	о том	2	8
28	но в	2	8
29	со стороны	3	7
30	то же	7	7
31	только в	2	7
32	не в	3	7
33	и как	5	6
34	и сказки	2	6
35	ни к	2	6
36	к тому	4	5
37	можно сказать	2	5
38	как бы	3	5
39	то что	8	5
40	во всех	4	5
41	а с	2	5
42	а в	7	5
43	с его	2	4
44	что в	8	4
45	не является	3	4
46	во втором	3	4
47	и к	4	4
48	что он	4	4
49	уже не	2	4
50	в целом	3	4
51	связи с	10	4
52	на его	4	4
53	в которых	2	4
54	потому что	3	4
55	между тем	5	4
56	могут быть	16	4
57	перед нами	10	3
58	в сказке	15	3
59	однако в	2	3
60	это не	6	3
61	как уже	2	3
62	что и	7	3
63	по своему	2	3
64	они и	3	3
65	с этим	11	3
66	сказки о	6	3
67	или на	3	3
68	один из	5	3
69	не с	2	3
70	хотя бы	4	3
71	все же	7	3
72	в ходе	4	3
73	из них	3	3
74	таким образом	21	3
75	того что	3	3
76	другой стороны	4	3
77	о животных	9	3
78	и сказка	2	3
79	сказать что	2	3
80	тем что	4	3
81	точки зрения	2	3
82	в то	3	3
83	тому как	5	3
84	также и	4	3
85	в первом	3	3
86	из двух	2	2
87	сказки и	3	2
88	не менее	5	2
89	и есть	2	2
90	между собой	4	2
91	в какой	3	2
92	к этому	3	2
93	не всегда	9	2
94	в тех	6	2
95	об этом	4	2
96	к различным	2	2
97	в пределах	3	2
98	последовательность событий	3	2
99	более или	2	2
100	на этом	3	2
101	так например	3	2
102	волшебной сказке	2	2
103	не от	2	2
104	в начале	3	2
105	в сущности	3	2
106	хотя и	3	2
107	и др	10	2
108	например в	2	2
109	оно не	2	2
110	и тем	2	2
111	а по	3	2
112	дело не	2	2
113	в различных	2	2
114	в форме	6	2
115	или менее	2	2
116	что же	2	2
117	приводит к	2	2
118	целый ряд	3	2
119	в сказках	3	2
120	как мы	6	2
121	и что	2	2
122	и по	2	2
123	то с	2	2
124	как их	2	2
125	или в	4	2
126	во всяком	2	2
127	мы имеем	9	2
128	героя в	4	2
129	подобно тому	6	2
130	наших дней	2	2
131	и ее	3	2
132	но как	2	2
133	в другом	2	2
134	могла бы	4	2
135	в этой	2	2
136	заметить что	8	2
137	это было	3	2
