N	2gram	Voloshinov_1	NovoeSre
1	а не	5	17
2	не может	16	16
3	и в	12	16
4	и не	10	11
5	что в	2	9
6	жизни и	4	8
7	как не	2	8
8	он не	2	8
9	в том	6	8
10	как и	5	7
11	в этом	4	7
12	может быть	14	7
13	с его	2	6
14	никогда не	5	6
15	не в	4	6
16	но это	2	6
17	ни в	3	6
18	в нем	6	5
19	все это	3	5
20	в жизни	5	5
21	и к	4	5
22	в ней	6	5
23	не только	4	5
24	не менее	3	4
25	то что	5	4
26	перестает быть	2	4
27	в них	3	4
28	это не	2	4
29	и все	2	4
30	и для	3	4
31	прежде всего	8	4
32	о том	3	4
33	со всех	2	4
34	и потому	2	4
35	но и	3	3
36	не есть	2	3
37	должна быть	5	3
38	в своей	3	3
39	с другой	4	3
40	и пр	3	3
41	конечно не	3	3
42	как в	5	3
43	она не	2	3
44	еще не	3	3
45	за пределы	4	3
46	сказать что	7	3
47	к ним	2	3
48	все время	6	2
49	место в	2	2
50	вместе с	2	2
51	все они	2	2
52	так и	4	2
53	другой стороны	2	2
54	формы и	3	2
55	с одной	2	2
56	все эти	3	2
57	уже не	4	2
58	такой же	2	2
59	одной стороны	2	2
60	зависит от	2	2
61	хотя бы	5	2
62	но не	2	2
63	так же	3	2
64	мы не	3	2
65	том что	5	2
66	и с	3	2
67	и что	2	2
68	могут быть	2	2
69	и на	4	2
70	не к	3	2
71	в себе	3	2
72	ведь и	3	2
73	в то	2	2
74	к содержанию	6	2
75	как это	2	2
76	но для	3	2
77	но в	5	2
