N	2gram	Vinokur_St_1	TeoriaLi
1	не только	18	18
2	в качестве	4	17
3	и не	16	16
4	а в	17	14
5	в частности	4	13
6	и в	44	13
7	может быть	15	12
8	так и	9	12
9	то есть	2	12
10	при этом	2	11
11	в этом	21	11
12	в том	36	11
13	но не	3	10
14	в тексте	12	10
15	а не	16	10
16	и его	8	10
17	в его	9	9
18	то же	5	9
19	что в	30	8
20	своего рода	3	8
21	такого рода	2	8
22	отношению к	3	8
23	но и	10	8
24	по отношению	3	8
25	в себе	2	7
26	том что	29	7
27	во второй	9	7
28	в данном	14	7
29	точки зрения	11	7
30	по своей	2	7
31	в то	9	7
32	только в	10	7
33	как это	4	7
34	же время	4	6
35	еще не	3	6
36	в первой	12	6
37	лишь в	3	6
38	как бы	4	6
39	но в	10	6
40	в своем	2	5
41	или иного	4	5
42	а также	2	5
43	в ее	4	5
44	как и	9	5
45	не в	12	5
46	в самом	7	5
47	того или	4	5
48	я с	2	5
49	в нем	5	5
50	данном случае	6	5
51	как в	13	5
52	он не	2	5
53	тем самым	2	5
54	с другой	9	5
55	между тем	3	5
56	мы имеем	2	5
57	не менее	5	4
58	ни в	3	4
59	первой строфе	2	4
60	в своей	6	4
61	то что	18	4
62	отношение к	2	4
63	не может	8	4
64	в слове	5	4
65	сказать что	7	4
66	но он	2	4
67	говорить о	2	4
68	не знает	2	4
69	как правило	2	4
70	никогда не	5	3
71	в этих	2	3
72	в отношении	9	3
73	он должен	2	3
74	прежде всего	7	3
75	тем не	2	3
76	для него	6	3
77	того что	9	3
78	и сам	2	3
79	например в	8	3
80	в сторону	2	3
81	совпадает с	2	3
82	и потому	2	3
83	этого слова	2	3
84	не все	3	3
85	другой стороны	7	3
86	как раз	4	3
87	таким образом	7	3
88	а с	3	3
89	именно в	6	3
90	в другом	3	3
91	и что	4	3
92	и по	5	3
93	и то	5	3
94	потому что	6	3
95	в основе	3	3
96	в этой	11	3
97	его в	2	3
98	все эти	5	3
99	к которому	4	3
100	я не	7	2
101	но на	2	2
102	оказывается в	2	2
103	если бы	9	2
104	была бы	5	2
105	могут быть	5	2
106	за пределы	2	2
107	в конце	3	2
108	того же	3	2
109	текста в	5	2
110	это не	8	2
111	этих двух	3	2
112	вовсе не	19	2
113	что он	10	2
114	об этом	3	2
115	пушкина что	2	2
116	что они	7	2
117	говорит в	2	2
118	одной стороны	2	2
119	а на	3	2
120	во втором	4	2
121	имеем дело	2	2
122	или иным	3	2
123	так или	2	2
124	даже в	3	2
125	к числу	2	2
126	и тем	3	2
127	к нему	2	2
128	в целом	5	2
129	во всех	8	2
130	дело не	4	2
131	со стороны	6	2
132	а именно	3	2
133	вытекает из	2	2
134	как к	3	2
135	и для	3	2
136	с одной	3	2
137	это и	4	2
138	в той	6	2
139	говорит что	3	2
140	с точки	8	2
141	и даже	5	2
142	так же	5	2
143	или иначе	2	2
144	культуры в	3	2
145	их в	2	2
146	у него	2	2
147	как будто	4	2
148	в равной	2	2
149	о том	17	2
150	и это	2	2
151	в чем	3	2
152	в которой	4	2
153	отношения к	2	2
154	в области	14	2
