N	2gram	Vygotskiy__2	Tvorches
1	и в	15	20
2	не только	15	13
3	никогда не	8	11
4	как бы	7	11
5	в его	2	10
6	таким образом	14	10
7	и его	4	9
8	и не	7	9
9	прежде всего	4	8
10	в том	33	8
11	при этом	3	8
12	но и	10	8
13	может быть	9	8
14	в этом	19	8
15	и с	4	8
16	это не	5	7
17	представление о	5	7
18	наряду с	2	7
19	что в	14	7
20	не может	9	7
21	то же	5	7
22	потому что	7	7
23	у него	2	6
24	что он	12	6
25	как и	6	6
26	в целом	10	6
27	в своей	4	6
28	так и	8	6
29	все это	4	6
30	именно в	2	6
31	а не	3	6
32	но не	3	5
33	и сам	3	5
34	все же	4	5
35	и даже	5	5
36	так же	4	5
37	в этой	6	5
38	о том	9	5
39	об этом	3	4
40	за собой	2	4
41	что у	3	4
42	мы не	10	4
43	том что	27	4
44	мы видим	4	4
45	что они	3	4
46	отнюдь не	2	4
47	что она	3	4
48	когда он	3	4
49	как в	4	4
50	все эти	3	4
51	тем самым	3	4
52	не в	8	4
53	а в	4	4
54	ничего не	3	4
55	если бы	8	4
56	но в	6	4
57	а с	4	3
58	он сам	3	3
59	же как	2	3
60	казалось бы	8	3
61	с этой	2	3
62	человека и	3	3
63	к этому	4	3
64	с ним	3	3
65	в пользу	4	3
66	отношению к	5	3
67	быть может	2	3
68	для него	3	3
69	одной из	3	3
70	в самом	11	3
71	и мы	2	3
72	он не	7	3
73	в котором	2	3
74	и др	5	3
75	не является	9	3
76	то что	20	3
77	и это	3	3
78	вместе с	6	3
79	в их	2	3
80	по отношению	6	3
81	так как	4	3
82	этот вопрос	5	3
83	тем что	2	3
84	в которых	3	3
85	в себе	2	3
86	в начале	4	3
87	как у	2	3
88	уже в	5	2
89	все время	3	2
90	и есть	2	2
91	думается что	2	2
92	точку зрения	6	2
93	с другой	6	2
94	в стороне	2	2
95	в такой	2	2
96	в одном	2	2
97	вовсе не	6	2
98	во всяком	7	2
99	и ее	3	2
100	что на	2	2
101	что его	4	2
102	как известно	6	2
103	в частности	6	2
104	видим в	2	2
105	том же	2	2
106	но если	2	2
107	для которого	3	2
108	о своих	2	2
109	всяком случае	6	2
110	нет и	2	2
111	точка зрения	3	2
112	только для	3	2
113	в первой	2	2
114	в процессе	11	2
115	в истории	6	2
116	опираясь на	2	2
117	как по	2	2
118	приводит к	5	2
119	и тогда	2	2
120	в отличие	3	2
121	и других	2	2
122	но эта	3	2
123	самом деле	6	2
124	и что	8	2
125	связь с	2	2
126	на этот	6	2
127	и по	3	2
128	друг друга	5	2
129	с другими	3	2
130	в основе	3	2
131	из них	3	2
132	могут быть	2	2
133	в которой	4	2
134	говорить о	2	2
135	и вообще	2	2
136	и только	3	2
137	только в	4	2
138	действия и	3	2
139	но ведь	2	2
140	при помощи	4	2
141	это все	2	2
142	их в	4	2
143	едва ли	7	2
144	отличие от	3	2
145	к которому	6	2
