N	2gram	Tiupa_Disk_1	Problema
1	то что	5	42
2	то есть	20	33
3	и в	16	32
4	и не	11	31
5	не есть	2	29
6	не менее	2	19
7	в этом	15	19
8	не только	28	17
9	потому что	4	16
10	по себе	3	15
11	а не	22	15
12	в себе	7	15
13	как бы	5	14
14	может быть	17	14
15	указывает на	2	14
16	но в	8	14
17	и тем	2	13
18	в нем	9	13
19	сказать что	3	13
20	что в	4	12
21	том что	19	12
22	так и	8	12
23	и даже	3	11
24	также и	3	11
25	о том	8	11
26	то же	7	10
27	прежде всего	11	10
28	в этой	2	10
29	отнюдь не	8	10
30	об этом	2	10
31	но не	11	9
32	в том	23	9
33	но и	14	9
34	и что	2	9
35	же самое	2	9
36	по своему	3	9
37	еще не	14	9
38	что же	2	9
39	то с	2	9
40	в данном	5	9
41	данном случае	2	8
42	не может	9	8
43	и о	4	8
44	и на	5	8
45	в своей	5	8
46	и ее	2	8
47	никогда не	2	7
48	такого рода	4	7
49	того что	3	7
50	в них	4	7
51	и все	2	7
52	что он	4	7
53	во всех	5	7
54	как мы	2	7
55	во всяком	2	7
56	тем что	3	7
57	только в	7	7
58	и есть	2	6
59	и как	6	6
60	при этом	13	6
61	в самом	3	6
62	хотя и	2	6
63	в виду	2	6
64	таким образом	3	6
65	это не	3	6
66	но как	2	6
67	о чем	2	6
68	в то	3	6
69	за пределы	2	6
70	в его	7	6
71	разного рода	2	6
72	перед нами	3	5
73	в своем	6	5
74	или иной	5	5
75	можно сказать	5	5
76	есть в	2	5
77	той или	3	5
78	в котором	5	5
79	не является	4	5
80	связи с	4	5
81	текста и	2	5
82	далеко не	10	5
83	именно в	3	4
84	не в	7	4
85	один из	3	4
86	на том	2	4
87	не говоря	2	4
88	в их	5	4
89	для обозначения	3	4
90	не было	7	4
91	этого термина	2	4
92	или в	2	4
93	а в	5	4
94	в истории	4	4
95	в литературе	2	4
96	а также	8	4
97	как в	10	4
98	и вообще	2	4
99	уже в	2	3
100	не обязательно	4	3
101	что не	4	3
102	с другой	10	3
103	более или	2	3
104	в действительности	3	3
105	обратить внимание	2	3
106	хотя бы	3	3
107	из них	3	3
108	другой стороны	3	3
109	и его	2	3
110	но отнюдь	2	3
111	в которых	4	3
112	с этим	3	3
113	точки зрения	3	3
114	он всегда	2	3
115	однако и	2	3
116	однако это	2	3
117	для себя	4	3
118	же касается	2	3
119	и во	2	3
120	говорит и	2	3
121	в ее	3	3
122	как и	16	3
123	того же	3	3
124	здесь в	2	3
125	сказать и	2	3
126	к тому	5	3
127	о нем	2	3
128	себе не	3	3
129	сами по	2	3
130	оно не	2	3
131	или менее	2	3
132	может и	2	3
133	хотя в	2	3
134	уже не	4	3
135	свидетельствует о	2	3
136	пока еще	6	3
137	или на	3	3
138	одного и	2	2
139	крайней мере	2	2
140	его как	2	2
141	однако уже	2	2
142	особого рода	2	2
143	для него	4	2
144	например в	2	2
145	на его	4	2
146	говоря уже	2	2
147	не как	4	2
148	известной степени	2	2
149	к его	2	2
150	того или	2	2
151	в первом	3	2
152	мы имеем	2	2
153	между тем	4	2
154	с его	4	2
155	могут быть	4	2
156	однако в	3	2
157	по крайней	2	2
158	и того	3	2
159	в качестве	34	2
160	текст и	2	2
161	в сущности	2	2
162	и потому	3	2
163	для своего	2	2
164	как его	2	2
165	тому как	3	2
166	подобно тому	2	2
167	на себя	2	2
168	поскольку в	2	2
169	в науке	2	2
170	едва ли	2	2
171	это было	2	2
