N	2gram	Vinokur_Ku_1	Tragedij
1	и в	24	18
2	в этом	14	9
3	не только	10	8
4	и не	12	7
5	и на	4	7
6	и с	5	7
7	может быть	13	7
8	как бы	7	7
9	что он	6	6
10	и его	5	6
11	же время	2	6
12	но в	2	6
13	все же	12	5
14	к жизни	2	5
15	что это	5	5
16	так и	7	5
17	это не	7	5
18	не может	7	5
19	то же	8	5
20	как и	2	5
21	в то	2	5
22	несмотря на	3	5
23	но и	6	4
24	то что	9	4
25	в целом	4	4
26	что в	17	4
27	все это	6	4
28	я не	2	4
29	прежде всего	9	4
30	и все	2	4
31	в нем	4	4
32	и даже	3	4
33	так же	4	4
34	том что	21	4
35	в этой	3	4
36	что я	2	4
37	и что	5	4
38	в себе	3	4
39	еще не	5	4
40	уже в	3	3
41	один из	4	3
42	о чем	2	3
43	в своем	3	3
44	как в	4	3
45	все эти	6	3
46	тем самым	4	3
47	и он	3	3
48	и как	2	3
49	должно быть	3	3
50	в его	12	3
51	что с	2	3
52	при этом	6	3
53	как это	3	3
54	с ним	5	3
55	под влиянием	3	2
56	не имеет	2	2
57	не могут	2	2
58	что и	4	2
59	только к	2	2
60	в силах	2	2
61	в частности	4	2
62	то и	2	2
63	что все	2	2
64	вопрос о	2	2
65	не просто	5	2
66	если б	2	2
67	уже не	8	2
68	бы и	2	2
69	с его	4	2
70	вместе со	2	2
71	к тому	5	2
72	и здесь	3	2
73	ни в	2	2
74	в том	30	2
75	до конца	2	2
76	но все	2	2
77	так что	4	2
78	в таком	3	2
79	не в	11	2
80	в данном	4	2
81	и то	3	2
82	в русском	4	2
83	не случайно	6	2
84	потому что	23	2
85	в первом	3	2
86	с тем	5	2
87	тем что	8	2
88	было в	2	2
89	в это	2	2
90	о том	9	2
91	что эти	4	2
92	в самом	10	2
93	не мог	2	2
94	ничего не	2	2
95	он не	2	2
96	в одном	3	2
97	что она	3	2
98	никогда не	2	2
