N	2gram	Losev_Dial_2	Stilisti
1	и в	19	42
2	как бы	14	27
3	не только	19	27
4	прежде всего	8	22
5	хотя бы	4	17
6	но и	12	15
7	то же	12	15
8	и не	30	14
9	может быть	20	12
10	не может	9	12
11	точки зрения	12	11
12	как и	10	11
13	мы уже	8	11
14	и как	10	10
15	что мы	2	10
16	мы должны	2	10
17	отнюдь не	6	10
18	как мы	3	10
19	в этом	8	10
20	при этом	4	9
21	в то	6	9
22	то что	14	9
23	все же	4	8
24	в ней	2	8
25	таким образом	4	8
26	с тем	2	8
27	что же	2	8
28	в себе	15	8
29	и это	5	8
30	никогда не	9	7
31	зависимости от	2	7
32	и от	3	7
33	же время	5	7
34	потому что	14	7
35	так как	14	7
36	в зависимости	2	7
37	было бы	3	7
38	а не	16	7
39	и его	5	7
40	только в	5	7
41	в которой	2	7
42	ничего не	3	7
43	не в	8	6
44	в этой	3	6
45	на его	2	6
46	но ведь	2	6
47	в конце	2	6
48	когда мы	3	6
49	в нем	10	6
50	во всех	2	6
51	так и	10	6
52	или как	3	6
53	в области	2	6
54	уже в	4	5
55	независимо от	4	5
56	тому что	2	5
57	и следовательно	5	5
58	и их	3	5
59	а в	4	5
60	и с	5	5
61	же самое	2	5
62	того или	2	5
63	как это	7	5
64	же мы	3	5
65	одно и	4	5
66	вместе с	2	5
67	в той	3	5
68	с точки	8	5
69	самого начала	2	4
70	все время	3	4
71	что это	10	4
72	в каждом	2	4
73	не просто	12	4
74	можно сказать	5	4
75	к тому	2	4
76	с самого	2	4
77	но все	2	4
78	в самом	5	4
79	той или	4	4
80	все это	4	4
81	того что	6	4
82	так же	2	4
83	о том	5	4
84	его в	3	4
85	но в	2	4
86	не что	3	4
87	и к	7	4
88	мы видим	2	4
89	себя в	2	4
90	на него	2	4
91	если мы	2	4
92	уже не	3	4
93	самом деле	4	4
94	и пр	5	4
95	тем же	2	4
96	и то	7	4
97	как только	3	3
98	в разных	3	3
99	или иное	4	3
100	будем говорить	2	3
101	что у	2	3
102	перед нами	2	3
103	это не	10	3
104	как таковой	4	3
105	но что	7	3
106	и уже	3	3
107	из них	3	3
108	жизни и	6	3
109	от того	4	3
110	что оно	4	3
111	и вот	4	3
112	и даже	14	3
113	нуждается в	3	3
114	их в	2	3
115	сказать что	10	3
116	необходимо чтобы	2	3
117	ни на	2	3
118	но вот	2	3
119	та же	4	3
120	в виду	5	3
121	и все	12	3
122	в одном	4	3
123	об этом	3	3
124	в ее	4	3
125	том что	10	3
126	в тех	2	3
127	еще не	4	3
128	мы в	2	3
129	конечно не	6	3
130	тех или	2	3
131	что и	5	3
132	не будет	2	3
133	да и	6	3
134	на самом	2	3
135	что такое	3	3
136	то или	4	3
137	связи с	4	3
138	выражение лица	2	2
139	зависит от	2	2
140	в душе	7	2
141	бы и	2	2
142	в частности	2	2
143	в какой	2	2
144	иное как	3	2
145	человека и	2	2
146	вопрос о	3	2
147	в мире	2	2
148	в том	14	2
149	но это	7	2
150	из всего	2	2
151	времени и	9	2
152	очевидно что	2	2
153	и нет	2	2
154	несмотря на	2	2
155	себе и	3	2
156	но мы	2	2
157	в этих	3	2
158	не говоря	2	2
159	в связи	4	2
160	не было	3	2
161	все эти	2	2
162	должно быть	7	2
163	его не	2	2
164	в своих	2	2
165	также и	2	2
166	что иное	3	2
167	по своей	4	2
168	что эти	2	2
169	мы имеем	3	2
170	я и	2	2
171	в жизни	2	2
172	от их	2	2
173	с этим	3	2
174	ясно что	4	2
175	не должно	2	2
176	что он	6	2
177	есть не	7	2
178	всякая живая	2	2
179	только тогда	7	2
180	только потому	2	2
181	и при	2	2
182	но не	6	2
183	по своему	5	2
184	эти вопросы	3	2
185	и когда	4	2
186	и потому	5	2
187	не есть	47	2
188	как не	2	2
189	в своей	8	2
190	сих пор	2	2
191	как в	2	2
192	как нечто	4	2
193	к нему	4	2
194	с ним	4	2
195	или в	2	2
196	тем что	2	2
197	в каком	4	2
198	и вообще	6	2
