N	2gram	Vygotskiy__3	Dialekti
1	не есть	3	40
2	и не	10	30
3	может быть	13	17
4	то что	15	16
5	и в	25	15
6	как бы	10	14
7	так как	12	14
8	точки зрения	6	14
9	что это	5	13
10	того что	10	13
11	по себе	7	13
12	прежде всего	4	11
13	в том	23	11
14	не может	6	11
15	ясно что	2	11
16	и все	4	11
17	в этом	14	11
18	с ее	5	10
19	в основе	16	10
20	потому что	6	10
21	том что	20	10
22	было бы	10	9
23	все это	6	9
24	мы не	9	9
25	и что	10	9
26	то же	2	9
27	уже не	2	9
28	значит что	4	9
29	ни в	9	8
30	не в	6	8
31	это значит	4	8
32	в себе	2	8
33	не только	6	8
34	в чем	2	8
35	и это	4	8
36	что в	17	7
37	что оно	4	7
38	что мы	7	7
39	что он	6	7
40	как и	15	7
41	и его	2	7
42	или в	2	7
43	только в	10	7
44	перед нами	10	6
45	так что	2	6
46	хотя и	2	6
47	в результате	3	6
48	сказать что	4	6
49	ни на	2	6
50	если бы	5	6
51	в то	4	6
52	что и	10	6
53	так и	5	5
54	в своем	4	5
55	на то	4	5
56	того чтобы	8	5
57	в сфере	2	5
58	в нем	2	5
59	что она	5	5
60	но только	3	5
61	в свете	2	5
62	таким образом	17	5
63	именно в	5	5
64	и на	6	5
65	о том	5	5
66	мы имеем	4	5
67	с его	2	5
68	тогда когда	4	5
69	в жизни	3	5
70	то в	3	5
71	в смысле	4	5
72	в себя	3	5
73	если мы	3	5
74	для того	7	5
75	и для	2	5
76	той же	4	5
77	в каком	2	5
78	и как	5	4
79	но это	5	4
80	в этой	5	4
81	что они	10	4
82	один из	6	4
83	но и	4	4
84	и отношение	2	4
85	так же	17	4
86	само по	2	4
87	с ними	3	4
88	той или	2	4
89	мы должны	6	4
90	в одном	2	4
91	с тем	16	4
92	отнюдь не	4	4
93	не как	3	4
94	этом смысле	2	4
95	мы видим	3	4
96	ничего общего	3	4
97	с их	2	4
98	еще не	4	4
99	в течение	2	4
100	бы в	2	4
101	тому как	2	4
102	в силу	6	4
103	в его	15	4
104	в собственном	6	3
105	на этом	3	3
106	тем самым	2	3
107	в свою	3	3
108	и той	2	3
109	к жизни	2	3
110	все эти	7	3
111	с этим	4	3
112	с ним	4	3
113	от этого	6	3
114	в один	2	3
115	к этому	3	3
116	от нее	4	3
117	та или	3	3
118	об этом	2	3
119	только потому	2	3
120	этот момент	2	3
121	мы имели	4	3
122	есть и	2	3
123	мы уже	5	3
124	в своей	2	3
125	и потому	2	3
126	когда он	3	3
127	как в	9	3
128	на основании	11	3
129	одной и	2	3
130	из которых	5	3
131	и то	2	3
132	мы можем	7	3
133	в виде	3	3
134	могут быть	5	3
135	едва ли	2	3
136	в области	7	3
137	не менее	6	2
138	не могут	4	2
139	или иная	3	2
140	мы будем	2	2
141	по типу	5	2
142	в частности	4	2
143	в отношении	6	2
144	с этой	3	2
145	из этих	4	2
146	человека и	5	2
147	главным образом	2	2
148	показывает что	8	2
149	собственном смысле	6	2
150	но все	2	2
151	совершенно ясно	2	2
152	заключается в	9	2
153	свою очередь	2	2
154	и может	2	2
155	в пользу	5	2
156	что с	4	2
157	в нашей	2	2
158	при этом	5	2
159	мог бы	4	2
160	в самом	3	2
161	совпадает с	6	2
162	никогда не	4	2
163	в котором	3	2
164	с той	2	2
165	из них	4	2
166	и их	3	2
167	другой стороны	3	2
168	то и	4	2
169	для этого	2	2
170	и только	2	2
171	по характеру	2	2
172	от того	4	2
173	этой точки	2	2
174	не мог	4	2
175	и по	5	2
176	должно быть	2	2
177	только после	2	2
178	но как	3	2
179	во всем	3	2
180	от одного	2	2
181	того или	2	2
182	как это	7	2
183	но они	2	2
184	а как	2	2
185	однако в	2	2
186	в них	2	2
187	сравнению с	3	2
188	и во	2	2
189	или другого	2	2
190	в понятии	5	2
191	все же	6	2
192	со всей	2	2
193	не будет	2	2
194	в качестве	12	2
195	все что	2	2
196	оно не	2	2
197	цель и	2	2
198	тем не	5	2
199	по сравнению	4	2
200	вместе с	14	2
201	находится в	2	2
202	того как	3	2
203	и слово	3	2
204	только что	2	2
205	которая не	4	2
206	или иначе	2	2
207	что по	2	2
208	во всяком	4	2
209	тем что	8	2
210	и другое	5	2
211	от этих	2	2
212	отличие от	6	2
213	не могли	3	2
214	ни один	4	2
