N	2gram	Losev_Vlad_1	UchenyiS
1	и в	31	14
2	не только	24	10
3	и не	17	8
4	то что	18	7
5	в этом	14	7
6	не может	6	7
7	может быть	6	6
8	хотя бы	2	5
9	все это	5	5
10	то же	6	5
11	но и	19	4
12	в этой	4	4
13	в россии	4	4
14	конечно не	2	4
15	с другой	3	4
16	что такое	2	4
17	только к	3	3
18	но в	12	3
19	как и	4	3
20	и то	10	3
21	все же	3	3
22	в своей	4	3
23	в частности	2	3
24	же время	4	3
25	другой стороны	3	3
26	для него	7	3
27	в то	8	3
28	было бы	2	3
29	этой области	2	3
30	у нас	6	3
31	том что	14	2
32	но не	3	2
33	в том	11	2
34	по существу	2	2
35	с его	11	2
36	не в	5	2
37	и для	2	2
38	но это	3	2
39	мы и	4	2
40	этом смысле	4	2
41	не столько	2	2
42	только в	9	2
43	и с	14	2
44	но даже	2	2
45	тем что	2	2
46	даже и	9	2
47	что он	12	2
48	и у	4	2
49	в себе	4	2
50	как раз	7	2
51	что мы	2	2
52	в конце	9	2
53	интереса к	2	2
54	что все	2	2
55	и через	3	2
56	если не	3	2
57	в самом	2	2
58	нам представляется	3	2
59	одним из	2	2
60	ничего не	3	2
61	что она	2	2
62	что и	5	2
63	в его	12	2
64	на первый	2	2
65	конце концов	3	2
66	таким образом	3	2
67	это было	6	2
