N	2gram	Voloshinov_2	Vvedenie
1	и в	19	32
2	в том	7	31
3	в этом	15	30
4	может быть	28	26
5	том что	10	26
6	не только	13	22
7	для того	6	21
8	того чтобы	6	20
9	таким образом	14	19
10	то что	4	16
11	так как	3	15
12	не может	18	14
13	в самом	6	13
14	в нем	11	13
15	о том	3	13
16	того что	4	12
17	в их	5	12
18	и не	19	12
19	как на	2	12
20	в его	5	12
21	только в	8	12
22	как мы	15	11
23	и именно	2	11
24	в ее	3	11
25	в данном	5	11
26	языка и	15	10
27	что в	2	10
28	но в	7	9
29	и как	6	9
30	в истории	3	9
31	между тем	6	9
32	по себе	3	9
33	то же	16	9
34	в той	5	9
35	с другой	3	8
36	это не	4	8
37	не в	10	8
38	именно в	2	8
39	науки о	2	8
40	прежде всего	7	7
41	вопрос о	2	7
42	смысле этого	4	7
43	точки зрения	17	7
44	но не	2	7
45	было бы	4	7
46	все же	5	7
47	самом деле	9	7
48	до сих	3	6
49	смысле слова	5	6
50	же время	8	6
51	но и	10	6
52	и даже	2	6
53	в то	8	6
54	его в	7	6
55	вовсе не	11	6
56	как и	9	6
57	в качестве	3	6
58	истории языка	3	6
59	сих пор	3	6
60	хотя бы	6	6
61	и его	16	6
62	тем что	2	6
63	культуры как	2	6
64	и это	3	6
65	уже в	2	5
66	в какой	3	5
67	иное как	2	5
68	как бы	19	5
69	и тем	4	5
70	а как	4	5
71	имеет дело	2	5
72	одним из	2	5
73	сказать что	4	5
74	на почве	9	5
75	не есть	3	5
76	вместе с	2	5
77	а не	9	5
78	что не	2	5
79	могут быть	3	5
80	независимо от	2	4
81	связана с	2	4
82	язык как	6	4
83	как о	2	4
84	одной стороны	3	4
85	о чем	2	4
86	всяком случае	2	4
87	в котором	3	4
88	по мере	4	4
89	по отношению	8	4
90	в особенности	2	4
91	с одной	3	4
92	не имеет	3	4
93	а в	3	4
94	даже и	2	4
95	но ведь	3	4
96	от этого	2	4
97	по крайней	2	4
98	что он	4	4
99	еще не	3	4
100	крайней мере	2	4
101	отношению к	8	4
102	в своей	3	4
103	только что	3	4
104	как раз	4	4
105	в виде	2	4
106	и для	7	4
107	речь в	4	4
108	той же	3	4
109	и то	3	4
110	во всяком	3	4
111	и ее	4	4
112	в себе	4	4
113	и т.д	4	4
114	только с	2	4
115	что это	2	3
116	в этих	3	3
117	в собственном	2	3
118	к тому	6	3
119	да и	3	3
120	в этой	3	3
121	но что	2	3
122	до конца	2	3
123	при этом	9	3
124	в ней	3	3
125	именно как	2	3
126	к нему	5	3
127	мы видели	4	3
128	на этой	5	3
129	в своем	2	3
130	все эти	3	3
131	так же	5	3
132	и на	5	3
133	языка в	3	3
134	в начале	2	3
135	как целое	9	3
136	если бы	11	3
137	так называемой	2	3
138	не как	3	3
139	к этому	5	3
140	стороны и	2	3
141	в различных	3	3
142	чтобы понять	2	3
143	связи с	13	3
144	одной из	3	3
145	в сущности	14	3
146	должен быть	2	3
147	что и	3	3
148	собственном смысле	2	3
149	в каком	3	3
150	или как	2	3
151	ответ на	2	3
152	все время	2	2
153	должна быть	4	2
154	находит себе	2	2
155	все более	2	2
156	никогда не	7	2
157	тому что	4	2
158	в отношении	4	2
159	или иной	5	2
160	находятся в	2	2
161	какой бы	3	2
162	не к	3	2
163	значение в	4	2
164	в форме	5	2
165	в связи	7	2
166	не было	3	2
167	с помощью	6	2
168	должно быть	3	2
169	рядом с	2	2
170	этой почве	5	2
171	ее от	2	2
172	не следует	2	2
173	в более	2	2
174	и с	2	2
175	чем же	3	2
176	с этим	3	2
177	он и	2	2
178	той или	4	2
179	и здесь	5	2
180	же самое	6	2
181	бы в	4	2
182	так и	10	2
183	не существует	3	2
184	уже знаем	2	2
185	следует что	4	2
186	лежит в	2	2
187	направление в	2	2
188	языка а	2	2
189	значение и	2	2
190	не с	2	2
191	у нас	3	2
192	его к	2	2
193	тем более	5	2
194	учение о	3	2
195	того же	5	2
196	во всех	6	2
197	жизни и	2	2
198	мы уже	6	2
199	история языка	2	2
200	этого слова	5	2
201	и до	3	2
202	быть и	6	2
203	мысли и	3	2
204	только на	4	2
205	и тогда	2	2
206	в языке	7	2
207	в значительной	2	2
208	между ними	2	2
209	целое и	2	2
210	с точки	13	2
211	мы не	2	2
212	языка не	3	2
213	мы можем	6	2
214	выражение в	5	2
215	в другом	3	2
216	на протяжении	2	2
217	если же	2	2
218	всякий памятник	2	2
219	одна из	7	2
220	ничего не	4	2
