N	2gram	Tiupa_Vved_1	TeoriaLi
1	в мире	8	24
2	не только	20	18
3	в качестве	8	17
4	тогда как	10	16
5	и не	12	16
6	а в	6	14
7	в частности	13	13
8	и в	13	13
9	состоит в	10	13
10	может быть	18	12
11	так и	8	12
12	то есть	8	12
13	представляет собой	15	11
14	при этом	26	11
15	в этом	21	11
16	в том	10	11
17	но не	5	10
18	в тексте	10	10
19	а не	15	10
20	и его	5	10
21	в его	4	9
22	то же	5	9
23	сводится к	4	8
24	от лат	5	8
25	что в	3	8
26	своего рода	10	8
27	такого рода	16	8
28	отношению к	7	8
29	но и	19	8
30	по отношению	7	8
31	в себе	5	7
32	том что	7	7
33	в отличие	2	7
34	в данном	13	7
35	по своей	3	7
36	в то	4	7
37	только в	6	7
38	отличие от	2	7
39	место в	2	6
40	же время	3	6
41	еще не	7	6
42	картина мира	12	6
43	присутствия в	7	6
44	лишь в	2	6
45	как бы	4	6
46	но в	6	6
47	в рамках	4	5
48	композиционных форм	2	5
49	однако в	4	5
50	в своем	5	5
51	не сводится	4	5
52	или иной	3	5
53	а также	8	5
54	как и	11	5
55	не в	6	5
56	в пределах	2	5
57	в самом	2	5
58	в нем	5	5
59	данном случае	6	5
60	как в	4	5
61	он не	3	5
62	уже не	5	5
63	тем самым	5	5
64	коммуникативного события	5	5
65	с другой	5	5
66	мы имеем	5	5
67	героя и	3	5
68	не менее	4	4
69	не столько	4	4
70	в свою	4	4
71	можно сказать	4	4
72	в ходе	2	4
73	более или	2	4
74	за пределами	3	4
75	в своей	5	4
76	то что	6	4
77	отношение к	2	4
78	или менее	2	4
79	приводит к	2	4
80	и т.п	9	4
81	не может	7	4
82	на смену	2	4
83	в слове	3	4
84	хотя и	7	4
85	говорить о	2	4
86	как правило	6	4
87	всего лишь	5	4
88	мира и	2	4
89	художественного текста	2	4
90	слова в	2	3
91	перед нами	6	3
92	по мысли	5	3
93	никогда не	4	3
94	в нашем	6	3
95	в этих	3	3
96	прежде всего	7	3
97	в итоге	3	3
98	и к	2	3
99	тем не	3	3
100	в соответствии	6	3
101	свою очередь	4	3
102	по своему	2	3
103	для него	3	3
104	того что	6	3
105	например в	2	3
106	той или	3	3
107	структуре текста	2	3
108	не все	2	3
109	картины мира	5	3
110	художественного письма	7	3
111	во времени	2	3
112	другой стороны	2	3
113	как раз	2	3
114	так в	4	3
115	таким образом	4	3
116	в текстах	2	3
117	а с	2	3
118	мира в	8	3
119	и по	3	3
120	о ней	4	3
121	потому что	5	3
122	являет собой	2	3
123	нового времени	3	3
124	в основе	3	3
125	между двумя	3	3
126	в финале	2	3
127	и т.д	5	3
128	к которому	2	3
129	но на	2	2
130	и составляет	3	2
131	о чем	2	2
132	если бы	7	2
133	поскольку не	2	2
134	могут быть	4	2
135	восходит к	2	2
136	высказывания как	3	2
137	между собой	2	2
138	жизни в	4	2
139	в аспекте	2	2
140	текста в	3	2
141	это не	6	2
142	в кадры	2	2
143	и маргариты	2	2
144	на фоне	2	2
145	по себе	2	2
146	в литературе	2	2
147	не принадлежит	2	2
148	к тому	6	2
149	об этом	4	2
150	и того	2	2
151	соответствии с	6	2
152	и адресата	2	2
153	одной стороны	5	2
154	а на	2	2
155	во втором	2	2
156	имеем дело	3	2
157	в войне	2	2
158	вслед за	2	2
159	имеет место	4	2
160	иначе говоря	6	2
161	к его	3	2
162	нашем случае	2	2
163	времени в	3	2
164	своей природе	2	2
165	не могло	2	2
166	и тем	2	2
167	не с	3	2
168	в целом	3	2
169	принадлежит к	3	2
170	во всех	2	2
171	коммуникативное событие	6	2
172	со стороны	5	2
173	человеческой жизни	3	2
174	жизни то	2	2
175	здесь не	2	2
176	в романе	6	2
177	и для	3	2
178	с одной	5	2
179	вследствие этой	2	2
180	в той	4	2
181	мастера и	2	2
182	следует подчеркнуть	5	2
183	войне и	2	2
184	и мире	2	2
185	или иначе	2	2
186	в рассказе	6	2
187	и мира	3	2
188	их в	2	2
189	следует признать	4	2
190	могла бы	3	2
191	как будто	4	2
192	без исключения	2	2
193	не следует	3	2
194	и соответственно	2	2
195	о том	5	2
196	в области	3	2
197	писал бахтин	2	2
198	в состав	4	2
