N	2gram	Savitsky_P_1	Myshleni
1	в том	9	42
2	том что	4	35
3	точки зрения	3	24
4	в этом	10	24
5	в качестве	9	21
6	и в	14	20
7	что в	4	19
8	заключается в	3	18
9	то же	9	16
10	то что	4	15
11	не только	17	15
12	с другой	5	12
13	потому что	3	12
14	может быть	5	12
15	в его	2	11
16	мы должны	4	11
17	с точки	3	11
18	того что	2	10
19	в отношении	10	10
20	в себе	3	10
21	только в	7	10
22	и как	3	9
23	одной стороны	3	9
24	но и	6	9
25	с одной	3	9
26	между тем	3	9
27	тот же	3	9
28	и не	12	8
29	и тем	2	8
30	было бы	6	8
31	как бы	4	7
32	что мы	3	7
33	тем самым	3	7
34	а не	2	7
35	могут быть	3	7
36	не может	4	6
37	с тем	3	6
38	в силу	2	6
39	в частности	2	5
40	это не	3	5
41	если бы	4	5
42	с этим	2	5
43	и к	4	5
44	для того	3	5
45	в своем	4	4
46	для нас	2	4
47	из них	2	4
48	и с	2	4
49	в смысле	6	4
50	по сравнению	2	4
51	во всей	2	4
52	не в	5	4
53	в области	11	4
54	не менее	2	3
55	со стороны	2	3
56	именно в	2	3
57	и других	2	3
58	столь же	3	3
59	должно быть	2	3
60	но в	9	3
61	отнюдь не	2	3
62	но не	3	3
63	наряду с	3	3
64	является в	2	3
65	в виде	2	3
66	том числе	2	2
67	прежде всего	3	2
68	переход от	2	2
69	вслед за	3	2
70	в ней	6	2
71	в нем	3	2
72	а в	4	2
73	в начале	2	2
74	стороны и	2	2
75	никак не	2	2
76	а также	4	2
77	и это	2	2
