N	2gram	Nazirov_Tv_1	EvropaiE
1	и в	21	37
2	что в	12	21
3	не только	7	18
4	в то	15	16
5	хотя бы	5	15
6	то же	13	15
7	в своем	4	14
8	в качестве	2	14
9	же время	12	14
10	но и	3	14
11	и не	7	14
12	но в	7	14
13	в этом	6	12
14	в их	3	11
15	в том	7	11
16	так и	2	10
17	отнюдь не	5	9
18	прежде всего	4	9
19	все более	2	9
20	не может	4	9
21	в себе	2	9
22	только в	5	9
23	так же	3	9
24	к тому	2	8
25	в своей	4	8
26	как и	12	7
27	того что	3	7
28	с другой	3	7
29	так как	3	7
30	вовсе не	5	6
31	том что	11	6
32	может быть	5	6
33	вслед за	2	6
34	как бы	17	6
35	то что	8	6
36	и даже	3	6
37	и на	7	6
38	то есть	12	6
39	в частности	2	5
40	не в	2	5
41	но не	3	5
42	одной из	4	5
43	но если	3	5
44	тем самым	7	5
45	и по	3	5
46	в виде	3	5
47	в россии	3	5
48	именно в	2	4
49	можно сказать	2	4
50	иными словами	2	4
51	в самом	3	4
52	то в	2	4
53	в ней	2	4
54	к ней	2	4
55	даже в	3	4
56	в направлении	2	4
57	и притом	2	4
58	сказать что	2	4
59	мира в	2	4
60	место в	3	3
61	никогда не	3	3
62	жизни в	6	3
63	и от	4	3
64	из всех	4	3
65	представляет собой	3	3
66	в свою	7	3
67	того же	2	3
68	из них	2	3
69	по нашему	5	3
70	себе не	2	3
71	и тем	2	3
72	что и	2	3
73	говорит о	3	3
74	не будет	2	3
75	во второй	2	3
76	когда он	2	3
77	время в	3	3
78	ее в	3	3
79	как в	8	3
80	потому что	5	3
81	ни на	3	3
82	в данном	2	3
83	о том	6	3
84	дело в	3	3
85	что все	3	2
86	он сам	6	2
87	а не	5	2
88	в этих	2	2
89	еще более	2	2
90	не означает	2	2
91	и все	6	2
92	представление о	3	2
93	есть не	2	2
94	не нужно	2	2
95	влияние на	2	2
96	и того	2	2
97	и как	4	2
98	отношений между	2	2
99	такой же	2	2
100	следовало бы	2	2
101	по преимуществу	2	2
102	он не	8	2
103	в его	13	2
104	в котором	6	2
105	если в	2	2
106	каких бы	2	2
107	при помощи	2	2
108	в мире	4	2
109	жизни и	3	2
110	вместе с	2	2
111	данном случае	2	2
112	во всей	2	2
113	а в	6	2
114	таким образом	5	2
115	и других	3	2
116	нашему мнению	5	2
117	и наконец	2	2
118	во многом	7	2
119	или в	2	2
120	в своих	5	2
121	и та	2	2
122	с большой	4	2
123	и с	3	2
124	хотя и	3	2
125	могут быть	2	2
126	в этой	5	2
127	как будто	5	2
128	далеко не	3	2
