N	2gram	Medvedev_U_1	Freidism
1	таким образом	2	24
2	и не	8	23
3	не может	7	20
4	прежде всего	8	18
5	в этом	7	15
6	в его	2	15
7	может быть	6	13
8	как и	3	11
9	то что	7	11
10	самом деле	2	10
11	но в	3	10
12	с его	2	9
13	и в	14	9
14	что он	2	8
15	в своей	3	8
16	не только	10	8
17	все это	5	8
18	то же	5	8
19	только в	2	8
20	в самом	2	7
21	для него	3	6
22	хотя бы	5	6
23	и с	2	6
24	не в	2	5
25	в этой	4	5
26	для этого	3	5
27	в то	3	5
28	что такое	4	5
29	но и	4	5
30	могут быть	2	5
31	но не	2	4
32	то ни	3	4
33	сводится к	2	4
34	всех этих	2	4
35	же время	3	4
36	конечно не	4	4
37	как раз	2	4
38	все же	3	4
39	и для	2	4
40	мы не	2	4
41	т.е в	2	4
42	не могут	2	3
43	если бы	2	3
44	конечном счете	4	3
45	что все	2	3
46	в конечном	4	3
47	в себе	2	3
48	но это	2	3
49	было бы	3	3
50	бы то	3	3
51	этой области	3	3
52	в искусстве	6	3
53	художественной формы	2	2
54	это уже	2	2
55	для всех	2	2
56	его и	2	2
57	с другой	4	2
58	это не	3	2
59	формы и	2	2
60	в конце	2	2
61	же самое	2	2
62	ни было	3	2
63	том что	2	2
64	а не	10	2
65	что мы	2	2
66	конце концов	2	2
67	сих пор	2	2
68	все они	2	2
69	что она	2	2
70	в их	4	2
71	этом отношении	2	2
72	не приходится	2	2
73	и у	2	2
74	и то	3	2
75	что и	2	2
76	до сих	2	2
77	в области	3	2
78	это было	2	2
