N	2gram	Medvedev_F_1	Tvorches
1	и в	24	20
2	в году	2	16
3	не только	7	13
4	и т	12	13
5	никогда не	4	11
6	т д	8	11
7	как бы	6	11
8	в его	23	10
9	таким образом	13	10
10	в то	9	10
11	и его	10	9
12	и не	20	9
13	прежде всего	22	8
14	в том	6	8
15	при этом	5	8
16	но и	7	8
17	может быть	14	8
18	в этом	15	8
19	и с	8	8
20	это не	2	7
21	же время	8	7
22	что в	4	7
23	не может	16	7
24	то же	10	7
25	что он	3	6
26	как и	11	6
27	в целом	6	6
28	в своей	11	6
29	так и	18	6
30	все это	9	6
31	именно в	8	6
32	а не	10	6
33	в основном	3	6
34	если он	3	5
35	в мире	4	5
36	но это	3	5
37	еще не	6	5
38	но не	3	5
39	все же	3	5
40	и даже	3	5
41	так же	4	5
42	и на	8	5
43	в этой	6	5
44	в душе	2	4
45	в лице	2	4
46	и от	7	4
47	мы не	3	4
48	отнюдь не	6	4
49	на его	2	4
50	когда он	3	4
51	как в	8	4
52	все эти	6	4
53	тем самым	3	4
54	не в	8	4
55	а в	6	4
56	и потому	9	4
57	ничего не	2	4
58	если бы	4	4
59	но в	5	4
60	место в	7	3
61	же как	2	3
62	жизни в	2	3
63	с этой	4	3
64	с ним	2	3
65	отношению к	4	3
66	и отчасти	3	3
67	одна из	2	3
68	на западе	4	3
69	так например	3	3
70	для него	3	3
71	одной из	2	3
72	в самом	5	3
73	он не	3	3
74	и др	5	3
75	один из	3	3
76	в нем	14	3
77	то что	8	3
78	и это	2	3
79	вместе с	2	3
80	сих пор	6	3
81	в их	11	3
82	по отношению	4	3
83	уже не	2	3
84	в современном	2	3
85	в своих	2	3
86	в себе	3	3
87	его в	3	3
88	между тем	2	3
89	до сих	6	3
90	все время	2	2
91	не менее	11	2
92	его и	2	2
93	с другой	5	2
94	в одном	2	2
95	вовсе не	10	2
96	и лишь	2	2
97	во всяком	4	2
98	и ее	10	2
99	в литературе	5	2
100	в ее	8	2
101	в искусстве	5	2
102	у нас	5	2
103	целом и	4	2
104	более того	3	2
105	к миру	2	2
106	а н	3	2
107	как о	4	2
108	и если	2	2
109	роман и	2	2
110	в частности	4	2
111	у тургенева	2	2
112	всяком случае	4	2
113	нет и	2	2
114	точка зрения	2	2
115	герой романа	2	2
116	в процессе	9	2
117	в истории	4	2
118	на него	2	2
119	приводит к	2	2
120	т п	4	2
121	не было	3	2
122	и других	3	2
123	но эта	2	2
124	сводится к	3	2
125	самом деле	6	2
126	и что	2	2
127	во что	2	2
128	и наконец	3	2
129	не так	2	2
130	друг друга	4	2
131	особенно в	3	2
132	из этой	2	2
133	с другими	4	2
134	в основе	3	2
135	в которой	4	2
136	только в	2	2
137	в литературном	2	2
138	но ведь	2	2
139	в россии	3	2
140	так сказать	3	2
141	познания и	4	2
142	к которому	2	2
143	быть поняты	2	2
