N	2gram	Bakhtin_sl_1	Myshleni
1	в том	3	33
2	том что	2	27
3	точки зрения	16	26
4	в этом	12	19
5	с точки	8	18
6	того что	3	17
7	и в	41	15
8	не только	16	15
9	таким образом	9	14
10	и речи	2	13
11	в самом	5	11
12	в процессе	4	11
13	в целом	2	10
14	но и	16	10
15	было бы	3	10
16	для того	2	10
17	мы не	2	10
18	в своем	3	9
19	может быть	14	9
20	не является	2	9
21	не может	14	9
22	о том	3	9
23	в сущности	13	9
24	связи с	2	9
25	так и	11	8
26	никогда не	3	8
27	не в	7	8
28	к тому	3	7
29	одной стороны	4	7
30	с одной	4	7
31	и не	16	7
32	потому что	2	7
33	как бы	12	7
34	он не	3	7
35	во всяком	7	7
36	в частности	2	6
37	в отношении	6	6
38	точку зрения	3	6
39	как мы	8	6
40	мы уже	2	6
41	с другой	5	6
42	сказать что	2	6
43	в истории	3	6
44	но в	8	6
45	в зависимости	3	6
46	вовсе не	7	6
47	и к	5	6
48	как и	4	6
49	зависимости от	3	6
50	если мы	2	6
51	речи в	4	6
52	всяком случае	5	6
53	там где	4	6
54	это не	6	5
55	смысле слова	2	5
56	и др	14	5
57	и даже	6	5
58	речь и	3	5
59	друг друга	3	5
60	по существу	3	5
61	внутренней речи	3	5
62	то же	14	5
63	можно было	2	5
64	связана с	2	4
65	прежде всего	8	4
66	из этих	3	4
67	что все	2	4
68	для нас	2	4
69	от его	3	4
70	все это	5	4
71	в них	6	4
72	так же	2	4
73	а в	6	4
74	и с	4	4
75	так как	3	4
76	возникает из	2	4
77	с его	4	4
78	к этому	2	4
79	все же	7	4
80	мы видим	2	4
81	в качестве	3	4
82	в своей	7	4
83	даже в	2	4
84	как в	8	4
85	как раз	2	4
86	а с	2	4
87	хотя бы	3	4
88	и его	14	4
89	только в	6	4
90	в которой	4	4
91	в эту	2	4
92	действительно не	2	3
93	все время	3	3
94	что они	2	3
95	и сам	3	3
96	для него	3	3
97	при этом	6	3
98	точка зрения	8	3
99	из них	3	3
100	данном случае	3	3
101	языка и	12	3
102	все эти	9	3
103	те же	2	3
104	лишь в	4	3
105	и по	2	3
106	с другими	5	3
107	в результате	3	3
108	в основе	5	3
109	с ним	7	3
110	и все	4	3
111	речи но	2	3
112	с этим	3	3
113	лежит в	4	3
114	но не	2	3
115	того же	6	3
116	одной из	3	3
117	бы и	3	3
118	на самом	2	3
119	а не	15	3
120	речь в	2	3
121	или в	8	3
122	в данном	3	3
123	он в	5	3
124	и ее	3	3
125	ничего не	4	3
126	как только	3	2
127	не могут	3	2
128	же как	2	2
129	в другой	2	2
130	в этих	2	2
131	перед нами	4	2
132	столь же	2	2
133	с этой	3	2
134	на все	2	2
135	или иной	9	2
136	можно сказать	2	2
137	друг с	2	2
138	самый язык	2	2
139	и той	2	2
140	на язык	2	2
141	той или	9	2
142	в котором	2	2
143	и тем	2	2
144	с ее	4	2
145	или во	2	2
146	могут быть	19	2
147	на том	2	2
148	в их	4	2
149	и других	3	2
150	ибо он	2	2
151	должно быть	2	2
152	в других	3	2
153	также и	3	2
154	а также	2	2
155	в одном	2	2
156	от этого	2	2
157	в известном	2	2
158	нисколько не	2	2
159	как увидим	2	2
160	у него	3	2
161	не могло	3	2
162	связь с	2	2
163	бы ни	3	2
164	именно в	3	2
165	за пределы	4	2
166	том же	4	2
167	в его	13	2
168	языков в	7	2
169	автора к	3	2
170	во всех	17	2
171	с ней	2	2
172	или менее	3	2
173	языка у	3	2
174	и для	4	2
175	или к	3	2
176	и эта	2	2
177	той же	2	2
178	у них	2	2
179	нас в	2	2
180	в себе	3	2
181	в другом	2	2
182	на протяжении	2	2
183	и вообще	2	2
184	ту же	4	2
185	с другом	2	2
186	самого автора	2	2
187	более или	3	2
