N	2gram	Tiupa_Vved_1	KFilosof
1	может быть	18	43
2	в его	4	39
3	в нем	5	31
4	не может	7	27
5	и не	12	26
6	по отношению	7	25
7	и в	13	22
8	в котором	8	21
9	отношению к	7	21
10	в себе	5	21
11	а не	15	17
12	и его	5	17
13	только в	6	16
14	в этом	21	13
15	для него	3	12
16	но не	5	12
17	в своей	5	11
18	не в	6	11
19	в едином	3	10
20	в своем	5	10
21	это не	6	10
22	во всех	2	10
23	в целом	3	9
24	но и	19	9
25	как бы	4	9
26	и все	4	9
27	и для	3	9
28	не было	2	8
29	лишь в	2	8
30	если бы	7	8
31	было бы	4	8
32	жизни и	7	8
33	со стороны	5	8
34	что и	2	7
35	то что	6	7
36	быть только	2	7
37	в том	10	6
38	но это	3	6
39	отношение к	2	6
40	в мире	8	6
41	отнюдь не	7	6
42	он не	3	6
43	уже не	5	6
44	мира в	8	6
45	никогда не	4	5
46	то же	5	5
47	не имеет	2	5
48	в основе	3	5
49	с ним	3	5
50	но в	6	5
51	жизни в	4	5
52	в событии	4	5
53	как и	11	5
54	не только	20	5
55	все же	6	5
56	бытия в	2	5
57	мы имеем	5	5
58	времени и	7	4
59	место в	2	4
60	что в	3	4
61	для нас	2	4
62	при этом	26	4
63	к ним	2	4
64	в своих	2	4
65	в категориях	2	4
66	могло бы	3	4
67	не как	2	4
68	мира и	2	4
69	том что	7	4
70	это мир	2	4
71	как его	2	4
72	а в	6	4
73	тем самым	5	4
74	и т.д	5	4
75	а лишь	2	3
76	бы и	4	3
77	должна быть	2	3
78	с человеком	2	3
79	не менее	4	3
80	в свою	4	3
81	до конца	3	3
82	и тем	2	3
83	того что	6	3
84	и на	3	3
85	в ней	4	3
86	в то	4	3
87	о том	5	3
88	мы не	4	3
89	по своему	2	3
90	мира не	2	3
91	могла бы	3	3
92	еще не	7	3
93	для которого	3	3
94	в современной	3	3
95	быть и	2	3
96	бы не	2	3
97	на самом	4	3
98	котором он	2	3
99	самом деле	3	3
100	тем что	2	3
101	могут быть	4	3
102	здесь не	2	3
103	слова в	2	2
104	а с	2	2
105	сознания в	3	2
106	прежде всего	7	2
107	вследствие этого	3	2
108	пространство и	2	2
109	или иной	3	2
110	тем не	3	2
111	чтобы стать	2	2
112	соответствии с	6	2
113	же время	3	2
114	не о	2	2
115	его с	2	2
116	по себе	2	2
117	быть не	4	2
118	потому что	5	2
119	он и	2	2
120	той или	3	2
121	говорить о	2	2
122	в сознании	4	2
123	в жизни	4	2
124	к этому	2	2
125	и того	2	2
126	в соответствии	6	2
127	в качестве	8	2
128	ли это	2	2
129	так и	8	2
130	как в	4	2
131	дело с	2	2
132	это только	2	2
133	сводится к	4	2
134	в данном	13	2
135	всей его	2	2
136	пространство в	2	2
137	всей своей	2	2
138	как оно	2	2
139	едва ли	3	2
140	в области	3	2
