N	2gram	Nazirov_Tr_1	Literetu
1	не только	8	24
2	при этом	3	19
3	но и	4	17
4	в том	2	16
5	в частности	2	15
6	том что	4	14
7	может быть	7	13
8	в году	9	13
9	и не	7	12
10	в этом	9	12
11	прежде всего	4	11
12	в своем	3	11
13	своего рода	3	11
14	то что	4	10
15	не в	2	8
16	в целом	4	8
17	и в	18	8
18	как это	3	8
19	я не	4	7
20	в его	3	7
21	как бы	7	7
22	уже не	2	7
23	в себе	4	7
24	и я	2	6
25	как и	5	6
26	и сам	3	6
27	то есть	3	6
28	с его	2	5
29	что он	6	5
30	же время	6	5
31	как в	3	5
32	не может	5	5
33	то же	5	5
34	в отличие	2	5
35	уже в	3	5
36	тем самым	3	5
37	в данном	2	5
38	в то	5	5
39	отличие от	2	5
40	столь же	2	4
41	это не	5	4
42	в конце	3	4
43	еще не	4	4
44	еще в	2	4
45	все же	5	4
46	данном случае	2	4
47	так и	5	4
48	никогда не	2	4
49	друг друга	2	4
50	и его	6	4
51	в этой	4	4
52	в душе	2	3
53	что в	4	3
54	одна из	2	3
55	в самом	2	3
56	несмотря на	5	3
57	не мог	2	3
58	у него	6	3
59	один из	3	3
60	и даже	4	3
61	потому что	2	3
62	он и	2	3
63	но в	6	3
64	его в	2	3
65	а как	2	2
66	это уже	2	2
67	отнюдь не	3	2
68	у достоевского	5	2
69	я люблю	4	2
70	раз и	2	2
71	но при	2	2
72	в мире	3	2
73	к тому	2	2
74	что я	4	2
75	в поле	3	2
76	для него	3	2
77	по поводу	2	2
78	в нем	4	2
79	то и	2	2
80	все эти	3	2
81	и то	2	2
82	не случайно	2	2
83	тем что	2	2
84	как будто	3	2
85	о том	2	2
86	русской литературы	2	2
