N	2gram	Berdyaev_M_2	VrazhdaK
1	в бесах	6	10
2	не только	18	9
3	достоевский в	3	8
4	в этом	20	8
5	и что	2	8
6	и в	46	8
7	достоевского в	2	7
8	но и	15	7
9	что в	4	7
10	достоевского и	2	7
11	то что	5	7
12	и все	5	7
13	в нем	22	6
14	– это	2	6
15	как и	13	6
16	но в	10	6
17	и с	3	6
18	то же	5	5
19	не было	11	5
20	и не	18	5
21	у него	22	5
22	между тем	2	5
23	в россии	3	5
24	уже в	2	4
25	у достоевского	34	4
26	как бы	8	4
27	это не	5	4
28	достоевского не	3	4
29	что он	7	4
30	в дневнике	2	4
31	так же	6	4
32	с ним	3	4
33	в своих	3	4
34	может быть	21	4
35	о том	3	4
36	в ней	11	4
37	я не	5	3
38	с его	4	3
39	связи с	2	3
40	который был	2	3
41	в своем	8	3
42	что у	4	3
43	и во	3	3
44	что есть	2	3
45	сам достоевский	3	3
46	в конце	5	3
47	т е	4	3
48	человека в	14	3
49	достоевского о	3	3
50	он был	9	3
51	в том	3	3
52	и его	5	3
53	достоевского к	5	3
54	том что	4	3
55	тем что	3	3
56	достоевский не	5	3
57	петр верховенский	4	3
58	в его	5	3
59	в русской	6	3
60	его в	3	3
61	из подполья	2	3
62	но он	11	3
63	в чем	3	3
64	он не	10	3
65	место в	2	2
66	его с	2	2
67	он сам	6	2
68	в своей	5	2
69	и это	5	2
70	достоевского –	4	2
71	никогда не	18	2
72	вместе с	2	2
73	в них	3	2
74	и достоевский	8	2
75	не может	15	2
76	а в	2	2
77	отношения к	2	2
78	но это	8	2
79	уже не	4	2
80	к себе	2	2
81	с которым	3	2
82	не мог	3	2
83	и он	11	2
84	в этой	7	2
85	же как	3	2
86	достоевский был	9	2
87	точки зрения	2	2
88	в свою	4	2
89	в себе	10	2
90	отношение к	8	2
91	для него	18	2
92	его на	4	2
93	в мире	7	2
