N	2gram	Bakhtin_sl_2	VelikijI
1	и не	22	20
2	и в	39	16
3	то что	2	9
4	так как	4	9
5	еще не	7	8
6	в истории	11	8
7	и потому	7	7
8	а не	14	7
9	человека и	3	6
10	хотя и	2	5
11	как бы	7	5
12	но и	21	5
13	все это	16	5
14	что он	2	4
15	в нем	19	4
16	как и	6	4
17	все что	2	4
18	так и	15	4
19	в этом	16	4
20	в ней	3	4
21	говорить о	3	4
22	и все	5	4
23	в его	7	4
24	с его	7	3
25	должна быть	3	3
26	что в	3	3
27	в этих	7	3
28	в них	6	3
29	ни в	4	3
30	в том	5	3
31	не в	9	3
32	но это	3	3
33	во всех	12	3
34	никогда не	7	3
35	оно не	8	3
36	что и	3	3
37	жизни и	6	3
38	бы и	3	3
39	не было	2	3
40	лишь в	3	3
41	хотя бы	3	3
42	и для	5	3
43	все эти	6	3
44	в чем	3	3
45	но в	6	3
46	не могут	5	2
47	его и	2	2
48	это не	5	2
49	в прошлом	2	2
50	прежде всего	8	2
51	для нас	5	2
52	том что	5	2
53	одна из	4	2
54	от него	5	2
55	но не	6	2
56	конечно не	5	2
57	для него	7	2
58	того чтобы	2	2
59	не только	24	2
60	один из	5	2
61	но мы	2	2
62	не с	3	2
63	и т	35	2
64	в форме	2	2
65	т д	2	2
66	в себя	2	2
67	мы не	2	2
68	уже не	5	2
69	его не	4	2
70	а в	4	2
71	с ним	7	2
72	людей и	2	2
73	между тем	3	2
74	могут быть	7	2
75	только в	5	2
76	во всяком	3	2
