N	2gram	Tiupa_Lite_1	PoTuStor
1	может быть	13	17
2	и в	8	16
3	прежде всего	11	9
4	таким образом	3	9
5	в этом	12	9
6	и только	2	9
7	и его	4	8
8	точки зрения	6	8
9	не может	5	8
10	с его	5	7
11	в сознание	3	7
12	не только	24	7
13	с точки	2	6
14	самом деле	2	6
15	для него	2	6
16	при этом	19	6
17	я и	7	6
18	все эти	2	5
19	что такое	2	5
20	нуждается в	3	5
21	еще не	4	5
22	как бы	7	5
23	в нем	2	4
24	отнюдь не	2	4
25	но и	17	4
26	так и	4	4
27	хотя бы	2	4
28	и не	12	4
29	а потому	2	4
30	и даже	3	4
31	в этой	4	4
32	художественного творчества	3	4
33	только в	8	4
34	его в	3	4
35	но в	3	4
36	в его	7	4
37	что в	3	3
38	жизни и	3	3
39	и есть	3	3
40	и др	3	3
41	могут быть	2	3
42	к себе	3	3
43	быть это	3	3
44	в том	16	3
45	а в	3	3
46	том что	14	3
47	с их	3	3
48	то что	10	3
49	в основе	3	3
50	на этом	2	3
51	только на	2	3
52	тех же	3	3
53	как это	8	3
54	в области	3	3
55	во всяком	3	3
56	в конечном	5	3
57	всяком случае	2	3
58	не менее	7	2
59	один из	3	2
60	не есть	2	2
61	в душе	3	2
62	конечном счете	4	2
63	в частности	15	2
64	никогда не	4	2
65	что не	2	2
66	для этого	4	2
67	того же	2	2
68	с этой	5	2
69	из этих	2	2
70	в жизни	6	2
71	то же	5	2
72	по аналогии	3	2
73	является по	2	2
74	сводится к	3	2
75	что он	5	2
76	и т.п	4	2
77	у него	3	2
78	как и	6	2
79	аналогии с	3	2
80	не на	2	2
81	при всей	3	2
82	нашего времени	2	2
83	в пределах	3	2
84	ту же	2	2
85	было бы	2	2
86	о том	2	2
87	в самом	3	2
88	за пределы	2	2
89	в своей	4	2
90	только то	2	2
91	так называемый	2	2
