N	2gram	Berdyaev_M_1	Tvorches
1	у достоевского	42	28
2	подпольный человек	6	22
3	и в	28	21
4	как бы	2	17
5	в то	2	15
6	в его	9	13
7	из подполья	10	13
8	что в	10	12
9	как и	5	12
10	достоевского в	9	12
11	то есть	3	12
12	с его	3	11
13	том что	3	11
14	подпольного человека	7	11
15	все это	6	10
16	как в	2	8
17	достоевского с	2	8
18	он не	24	8
19	то что	5	8
20	у него	17	7
21	что достоевский	4	7
22	в свою	2	7
23	в том	6	7
24	не только	29	7
25	и не	11	7
26	и на	6	7
27	но в	7	7
28	он сам	6	6
29	что он	10	6
30	жизни в	2	6
31	и все	10	6
32	достоевского не	4	6
33	в преступлении	2	6
34	для него	11	6
35	в котором	8	6
36	человека в	13	6
37	а в	4	6
38	и его	9	6
39	в этом	20	6
40	xix века	4	6
41	о том	2	6
42	в творчестве	10	6
43	а не	25	5
44	может быть	30	5
45	в этой	6	5
46	все же	2	5
47	преступления и	3	5
48	хотя бы	3	5
49	потому что	16	5
50	творчестве достоевского	4	5
51	как будто	2	5
52	только в	6	5
53	в человеке	8	4
54	в своем	10	4
55	человека и	14	4
56	прежде всего	10	4
57	в мире	10	4
58	и как	2	4
59	достоевский не	6	4
60	достоевского это	2	4
61	достоевским в	2	4
62	одним из	2	4
63	один из	4	4
64	в своей	15	4
65	мысли и	2	4
66	не может	28	4
67	это не	5	4
68	в момент	3	4
69	и от	2	4
70	герои достоевского	4	4
71	для достоевского	5	4
72	не существует	2	3
73	место в	2	3
74	уже в	4	3
75	никогда не	14	3
76	своих героев	2	3
77	с ним	2	3
78	не был	7	3
79	творчество достоевского	13	3
80	достоевский и	3	3
81	что человек	3	3
82	человеческой личности	4	3
83	достоевский в	5	3
84	это и	4	3
85	но не	8	3
86	романов достоевского	3	3
87	в самом	11	3
88	он ни	2	3
89	но если	3	3
90	в нем	13	3
91	к человеку	9	3
92	жизни и	2	3
93	самого достоевского	2	3
94	но и	25	3
95	достоевского и	10	3
96	в их	4	3
97	в бесах	2	3
98	уже не	4	3
99	на земле	2	3
100	добра и	5	3
101	записок из	5	3
102	того что	7	3
103	не так	3	3
104	и по	4	3
105	для человека	3	3
106	в которой	6	3
107	достоевского к	5	3
108	и с	3	3
109	в россии	2	3
110	на протяжении	2	3
111	о свободе	18	3
112	героев достоевского	2	3
113	так как	3	3
114	человека но	4	3
115	по достоевскому	2	2
116	в основе	2	2
117	может не	2	2
118	а как	2	2
119	в этих	4	2
120	на том	3	2
121	эти слова	2	2
122	к добру	2	2
123	и мир	2	2
124	в жизни	3	2
125	человека у	3	2
126	личности в	2	2
127	к этому	2	2
128	есть не	4	2
129	что и	4	2
130	его как	2	2
131	человека его	3	2
132	достоевского он	7	2
133	не в	16	2
134	бога и	10	2
135	быть может	7	2
136	до конца	14	2
137	достоевский с	5	2
138	и зла	5	2
139	к тому	3	2
140	страдания и	2	2
141	живет в	2	2
142	в ней	15	2
143	к ней	4	2
144	и когда	2	2
145	этом он	2	2
146	в него	3	2
147	был бы	10	2
148	его романах	2	2
149	еще в	2	2
150	когда он	3	2
151	вместе с	6	2
152	приводит к	2	2
153	иван карамазов	8	2
154	в наше	2	2
155	вряд ли	3	2
156	и достоевский	12	2
157	человека как	2	2
158	свободы и	10	2
159	не мог	3	2
160	и у	2	2
161	и он	12	2
162	ведет к	6	2
163	в движении	3	2
164	в любви	4	2
165	людей и	2	2
166	в мир	3	2
167	сказать что	2	2
168	могут быть	2	2
169	во имя	10	2
170	но он	9	2
171	сам достоевский	3	2
172	когда человек	3	2
173	в себе	7	2
174	не знает	4	2
175	и человек	2	2
176	свою противоположность	2	2
177	человек может	2	2
178	переходит в	15	2
179	человека с	2	2
180	значит что	4	2
181	в виду	2	2
182	русской литературы	5	2
