N	2gram	Voloshinov_2	Tvorches
1	и в	19	20
2	не только	13	13
3	никогда не	7	11
4	как бы	19	11
5	в его	5	10
6	таким образом	14	10
7	в то	8	10
8	и его	16	9
9	и не	19	9
10	прежде всего	7	8
11	в том	7	8
12	при этом	9	8
13	но и	10	8
14	может быть	28	8
15	в этом	15	8
16	и с	2	8
17	это не	4	7
18	же время	8	7
19	что в	2	7
20	не может	18	7
21	то же	16	7
22	xix века	2	7
23	у него	2	6
24	что он	4	6
25	как и	9	6
26	в своей	3	6
27	так и	10	6
28	именно в	2	6
29	а не	9	6
30	в основном	4	6
31	еще не	3	5
32	но не	2	5
33	все же	5	5
34	и даже	2	5
35	так же	5	5
36	и на	5	5
37	в этой	3	5
38	о том	3	5
39	то есть	2	5
40	в душе	4	4
41	и от	3	4
42	мы не	2	4
43	том что	10	4
44	что они	2	4
45	отнюдь не	8	4
46	все эти	3	4
47	не в	10	4
48	а в	3	4
49	и потому	2	4
50	ничего не	4	4
51	если бы	11	4
52	но в	7	4
53	место в	2	3
54	а с	2	3
55	в одной	2	3
56	к этому	5	3
57	отношению к	8	3
58	одна из	7	3
59	для него	9	3
60	что не	2	3
61	одной из	3	3
62	в самом	6	3
63	он не	3	3
64	в котором	3	3
65	не является	8	3
66	в нем	11	3
67	то что	4	3
68	и это	3	3
69	вместе с	2	3
70	сих пор	3	3
71	в их	5	3
72	по отношению	8	3
73	так как	3	3
74	одним из	2	3
75	в таком	7	3
76	тем что	2	3
77	в себе	4	3
78	в начале	2	3
79	его в	7	3
80	между тем	6	3
81	до сих	3	3
82	уже в	2	2
83	все время	2	2
84	его и	3	2
85	точку зрения	2	2
86	с другой	3	2
87	по крайней	2	2
88	вовсе не	11	2
89	и лишь	3	2
90	во всяком	3	2
91	и ее	4	2
92	крайней мере	2	2
93	в ее	3	2
94	тому же	2	2
95	у нас	3	2
96	более того	6	2
97	как о	2	2
98	всяком случае	2	2
99	себя в	2	2
100	в процессе	18	2
101	в истории	3	2
102	приводит к	2	2
103	и тогда	2	2
104	в отличие	3	2
105	бы не	2	2
106	не было	3	2
107	сводится к	2	2
108	самом деле	9	2
109	связь с	4	2
110	и у	2	2
111	и он	2	2
112	не так	2	2
113	друг друга	2	2
114	рядом с	2	2
115	с другими	3	2
116	с ними	4	2
117	в основе	9	2
118	в виде	2	2
119	могут быть	3	2
120	только в	8	2
121	но ведь	3	2
122	таком случае	3	2
123	так сказать	14	2
124	только с	2	2
125	в устах	3	2
126	отличие от	3	2
