N	2gram	Losev_Vlad_1	Hudozhes
1	в качестве	6	19
2	то есть	3	18
3	и не	17	16
4	в том	11	15
5	и в	31	15
6	не только	24	15
7	в частности	2	13
8	может быть	6	13
9	при этом	2	12
10	а в	9	12
11	и его	7	12
12	но не	3	11
13	в этом	14	11
14	в себе	4	11
15	но и	19	10
16	так и	6	10
17	то же	6	10
18	такого рода	4	9
19	в его	12	9
20	точки зрения	2	9
21	себя в	4	8
22	с другой	3	7
23	в то	8	7
24	но в	12	7
25	с его	11	6
26	что в	14	6
27	том что	14	6
28	не в	5	6
29	же время	4	6
30	отношение к	3	6
31	не может	6	6
32	по своей	4	6
33	можно сказать	6	5
34	а также	5	5
35	ни в	2	5
36	только в	9	5
37	тем самым	2	5
38	в самом	2	5
39	того что	2	5
40	в нем	4	5
41	то что	18	5
42	или менее	3	5
43	другой стороны	3	5
44	уже не	3	5
45	более или	3	5
46	место в	2	4
47	не столько	2	4
48	к тому	3	4
49	и как	4	4
50	особого рода	2	4
51	для него	7	4
52	еще не	2	4
53	хотя и	4	4
54	он не	10	4
55	в своей	4	4
56	со стороны	2	4
57	как к	2	4
58	и то	10	4
59	сказать что	7	4
60	как это	7	4
61	не менее	2	3
62	в отношении	3	3
63	этом смысле	4	3
64	что он	12	3
65	и к	6	3
66	к его	3	3
67	тем не	2	3
68	по своему	3	3
69	того же	6	3
70	со своей	3	3
71	как раз	7	3
72	к нему	4	3
73	в целом	3	3
74	таким образом	3	3
75	как и	4	3
76	лишь в	2	3
77	и что	6	3
78	и для	2	3
79	потому что	11	3
80	но он	5	3
81	в которой	4	3
82	во мне	2	2
83	на этом	2	2
84	я не	4	2
85	но на	3	2
86	в нашем	4	2
87	в своем	4	2
88	в них	2	2
89	и особенно	4	2
90	и весьма	2	2
91	вовсе не	5	2
92	к своему	3	2
93	об этом	7	2
94	о его	2	2
95	личности с	2	2
96	тем более	2	2
97	говорит что	4	2
98	и сам	6	2
99	несмотря на	4	2
100	за пределы	3	2
101	и о	2	2
102	одной из	2	2
103	и потому	6	2
104	к жизни	2	2
105	даже в	2	2
106	для себя	2	2
107	дело не	2	2
108	но она	3	2
109	как в	3	2
110	а именно	2	2
111	здесь не	3	2
112	собственно говоря	3	2
113	а с	5	2
114	на свою	3	2
115	и притом	3	2
116	все эти	3	2
117	это и	2	2
118	в году	30	2
119	того чтобы	2	2
120	для того	2	2
121	времени в	2	2
122	и по	8	2
123	с ним	5	2
124	и на	3	2
125	у него	15	2
126	но как	5	2
127	начиная с	2	2
128	в этой	4	2
129	о том	11	2
130	и это	2	2
131	из этого	2	2
132	всей его	2	2
133	в чем	2	2
134	для меня	4	2
