N	2gram	Vinokur_Vv_1	Marksizm
1	может быть	24	28
2	и в	27	19
3	как бы	5	19
4	и не	13	19
5	не может	13	18
6	точки зрения	7	17
7	то же	8	16
8	и его	5	16
9	языка и	12	15
10	как мы	9	15
11	в этом	34	15
12	таким образом	19	14
13	в сущности	3	14
14	не только	21	13
15	с точки	2	13
16	связи с	3	13
17	в нем	13	11
18	если бы	2	11
19	вовсе не	6	11
20	не в	8	10
21	но и	5	10
22	том что	26	10
23	при этом	3	9
24	как целое	3	9
25	языка как	2	9
26	как и	5	9
27	на почве	5	9
28	самом деле	6	9
29	а не	3	9
30	же время	5	8
31	по отношению	4	8
32	в то	5	8
33	отношению к	4	8
34	только в	13	8
35	никогда не	3	7
36	в связи	2	7
37	в том	31	7
38	его в	6	7
39	но в	10	7
40	прежде всего	8	7
41	одна из	2	7
42	и для	4	7
43	язык как	3	6
44	к тому	4	6
45	и как	9	6
46	того чтобы	21	6
47	в самом	12	6
48	же самое	2	6
49	между тем	8	6
50	во всех	2	6
51	быть и	2	6
52	для того	21	6
53	хотя бы	5	6
54	мы можем	2	6
55	смысле слова	7	5
56	к нему	2	5
57	на этой	3	5
58	в форме	2	5
59	в их	11	5
60	так же	3	5
61	этой почве	2	5
62	и на	3	5
63	к этому	3	5
64	и того	2	5
65	того же	3	5
66	в его	10	5
67	этого слова	2	5
68	все же	8	5
69	в той	7	5
70	в данном	11	5
71	тем более	2	5
72	отношении к	2	5
73	должна быть	2	4
74	тому что	2	4
75	в отношении	2	4
76	это не	8	4
77	одного и	2	4
78	по мере	4	4
79	то что	17	4
80	и тем	5	4
81	мы видели	2	4
82	значение в	2	4
83	того что	12	4
84	сказать что	5	4
85	а как	3	4
86	как раз	4	4
87	смысле этого	8	4
88	следует что	2	4
89	что он	4	4
90	было бы	5	4
91	только на	3	4
92	речь в	4	4
93	и ее	4	4
94	в себе	4	4
95	и т.д	4	4
96	ничего не	2	4
97	не существует	2	3
98	учение о	2	3
99	в этих	3	3
100	в какой	4	3
101	с другой	8	3
102	да и	4	3
103	в этой	3	3
104	одной стороны	4	3
105	в ней	3	3
106	в котором	4	3
107	какой бы	2	3
108	истории языка	5	3
109	а в	5	3
110	с этим	2	3
111	с одной	4	3
112	что оно	2	3
113	все эти	3	3
114	в другом	3	3
115	не имеет	4	3
116	должно быть	2	3
117	чем же	3	3
118	языка в	4	3
119	в истории	9	3
120	но ведь	4	3
121	о том	15	3
122	так как	13	3
123	не как	3	3
124	по себе	9	3
125	в различных	2	3
126	в ее	11	3
127	у нас	2	3
128	в качестве	7	3
129	до сих	5	3
130	еще не	4	3
131	одной из	3	3
132	не к	2	3
133	и до	2	3
134	что и	3	3
135	не есть	4	3
136	в своей	4	3
137	мысли и	2	3
138	только что	4	3
139	в отличие	3	3
140	той же	4	3
141	и то	5	3
142	во всяком	3	3
143	могут быть	4	3
144	и это	6	3
145	отличие от	3	3
146	сих пор	5	3
147	связана с	4	2
148	уже в	5	2
149	независимо от	3	2
150	что в	11	2
151	что это	3	2
152	все более	3	2
153	к проблемам	2	2
154	иное как	5	2
155	вопрос о	8	2
156	в собственном	2	2
157	его к	2	2
158	в тех	2	2
159	находятся в	2	2
160	лишь как	2	2
161	как о	4	2
162	но что	3	2
163	находит себе	2	2
164	до конца	3	2
165	о чем	4	2
166	одним из	5	2
167	всяком случае	3	2
168	жизни и	2	2
169	в своем	3	2
170	имеет дело	5	2
171	в особенности	4	2
172	именно в	8	2
173	история языка	2	2
174	и даже	5	2
175	как на	11	2
176	рядом с	2	2
177	ее от	2	2
178	не следует	2	2
179	в более	2	2
180	и с	2	2
181	по крайней	4	2
182	даже и	3	2
183	именно как	3	2
184	он и	2	2
185	но как	2	2
186	в начале	3	2
187	или как	3	2
188	от этого	5	2
189	лежит в	2	2
190	направление в	2	2
191	языка а	2	2
192	так называемой	3	2
193	значение и	2	2
194	стороны и	3	2
195	не с	2	2
196	но не	7	2
197	культуры как	6	2
198	науки о	9	2
199	должен быть	4	2
200	крайней мере	4	2
201	себя в	2	2
202	и именно	12	2
203	собственном смысле	2	2
204	и тогда	3	2
205	или же	3	2
206	на языке	2	2
207	в значительной	2	2
208	что не	5	2
209	между ними	2	2
210	целое и	2	2
211	чтобы понять	2	2
212	мы не	2	2
213	слова как	2	2
214	тем что	6	2
215	в виде	4	2
216	на протяжении	2	2
217	если же	2	2
218	ответ на	3	2
219	всякий памятник	2	2
220	только с	3	2
221	вместе с	6	2
