N	2gram	Tiupa_Anal_3	VrazhdaK
1	в году	3	18
2	не только	22	9
3	в этом	14	8
4	и в	18	8
5	но и	13	7
6	что в	9	7
7	то что	2	7
8	и все	2	7
9	в нем	2	6
10	все же	4	6
11	и даже	8	6
12	в романе	2	6
13	как и	14	6
14	в начале	6	6
15	но в	2	6
16	то же	3	5
17	не было	3	5
18	и не	12	5
19	об этом	2	5
20	между тем	5	5
21	в то	3	5
22	же время	3	5
23	уже в	3	4
24	как бы	10	4
25	все это	3	4
26	это не	2	4
27	что он	4	4
28	может быть	9	4
29	при этом	11	4
30	несмотря на	2	4
31	о том	6	4
32	в ней	2	4
33	с его	8	3
34	русской литературе	4	3
35	в своем	4	3
36	о себе	2	3
37	в конце	5	3
38	к этому	3	3
39	в том	9	3
40	и его	13	3
41	том что	12	3
42	и как	4	3
43	тем что	2	3
44	в его	7	3
45	далеко не	4	3
46	в русской	7	3
47	его в	3	3
48	он не	6	3
49	и т.п	5	2
50	и а	4	2
51	не менее	4	2
52	никогда не	5	2
53	вместе с	2	2
54	отнюдь не	4	2
55	в них	2	2
56	столь же	4	2
57	как раз	7	2
58	так в	3	2
59	не может	2	2
60	а в	10	2
61	тогда как	20	2
62	отношения к	2	2
63	таким образом	4	2
64	о которой	2	2
65	в той	2	2
66	уже не	5	2
67	не мог	2	2
68	и он	2	2
69	с точки	2	2
70	же в	2	2
71	из повести	2	2
72	в глазах	2	2
73	в этой	6	2
74	в момент	2	2
75	но как	3	2
76	точки зрения	3	2
77	в свою	5	2
78	и ее	2	2
79	в себе	2	2
80	для него	6	2
81	еще не	6	2
82	о чем	4	2
83	в мире	5	2
84	ответ на	3	2
85	с нею	2	2
86	одна из	2	2
87	нашего времени	3	2
88	а также	2	2
