N	3gram	Losev_Dial_1	Psycholo
1	и т п	2	15
2	в том что	7	9
3	и т д	19	8
4	на то что	4	8
5	не может быть	3	8
6	о том что	2	7
7	во всяком случае	2	6
8	с одной стороны	2	5
9	само по себе	5	5
10	с другой стороны	4	5
11	точно так же	2	3
12	в конце концов	3	3
13	до сих пор	2	3
14	не было бы	2	2
15	несмотря на то	2	2
16	никогда не может	2	2
17	более или менее	3	2
18	с точки зрения	12	2
19	то что я	2	2
20	то или иное	2	2
21	по себе не	5	2
22	сама по себе	8	2
23	в этом отношении	2	2
24	в этом смысле	3	2
25	на самом деле	2	2
26	по себе а	2	2
27	потому что он	3	2
