N	2gram	Voloshinov_1	Literetu
1	не только	4	24
2	при этом	6	19
3	но и	3	17
4	а не	5	16
5	в том	6	16
6	том что	5	14
7	может быть	14	13
8	и не	10	12
9	в этом	4	12
10	прежде всего	8	11
11	в своем	2	11
12	то что	5	10
13	не в	4	8
14	и в	12	8
15	только в	6	8
16	как это	2	8
17	не менее	3	7
18	в его	2	7
19	как бы	13	7
20	уже не	4	7
21	в себе	3	7
22	в жизни	5	6
23	как и	5	6
24	того что	3	6
25	точки зрения	14	6
26	с его	2	5
27	с этой	2	5
28	искусства и	2	5
29	как в	5	5
30	не может	16	5
31	то же	5	5
32	уже в	2	5
33	в данном	2	5
34	в то	2	5
35	перестает быть	2	4
36	это не	2	4
37	но не	2	4
38	еще не	3	4
39	в формах	2	4
40	все же	4	4
41	в художественном	3	4
42	в своей	3	4
43	данном случае	2	4
44	так и	4	4
45	никогда не	5	4
46	и его	13	4
47	в душе	2	3
48	что в	2	3
49	с другой	4	3
50	да и	3	3
51	художественного творчества	3	3
52	в пределах	3	3
53	в самом	4	3
54	и др	5	3
55	жизни и	4	3
56	по отношению	11	3
57	бы не	2	3
58	таким образом	12	3
59	этой точки	3	3
60	нуждается в	3	3
61	но в	5	3
62	его в	4	3
63	дело в	4	3
64	в виду	5	3
65	должна быть	5	2
66	отнюдь не	5	2
67	все они	2	2
68	в себя	2	2
69	тем не	3	2
70	тому же	2	2
71	для него	3	2
72	одной стороны	2	2
73	мы в	2	2
74	на один	2	2
75	общего с	2	2
76	за пределы	4	2
77	относится к	2	2
78	и является	4	2
79	в нем	6	2
80	не есть	2	2
81	отношению к	11	2
82	не к	3	2
83	не остается	2	2
84	художественное произведение	3	2
85	только на	3	2
86	с одной	2	2
87	все эти	3	2
88	это как	3	2
89	самом деле	3	2
90	что не	4	2
91	хотя бы	5	2
92	и вполне	2	2
93	с точки	2	2
94	и то	2	2
95	между тем	3	2
96	могут быть	2	2
97	общей для	2	2
98	на это	2	2
99	о том	3	2
100	нет ничего	2	2
