N	2gram	Tiupa_Lite_2	Myshleni
1	в том	10	33
2	том что	7	27
3	точки зрения	4	26
4	то что	7	20
5	в этом	9	19
6	с точки	3	18
7	того что	5	17
8	и в	19	15
9	не только	8	15
10	что в	4	14
11	что он	3	12
12	и т.д	7	12
13	в целом	2	10
14	но и	10	10
15	было бы	2	10
16	для того	2	10
17	мы не	4	10
18	может быть	17	9
19	не является	2	9
20	не может	9	9
21	о том	2	9
22	в сущности	3	9
23	так и	7	8
24	никогда не	3	8
25	не в	4	8
26	и что	2	8
27	одной стороны	6	7
28	с одной	7	7
29	и не	11	7
30	потому что	2	7
31	как бы	2	7
32	тот же	2	7
33	он не	5	7
34	и т.п	10	7
35	едва ли	4	7
36	в частности	4	6
37	в этой	3	6
38	в виду	2	6
39	по отношению	4	6
40	с другой	8	6
41	в истории	2	6
42	как он	2	6
43	как это	2	6
44	но в	2	6
45	вовсе не	2	6
46	и к	2	6
47	как и	10	6
48	вместе с	5	6
49	уже в	2	5
50	и др	3	5
51	и даже	8	5
52	друг друга	2	5
53	по существу	3	5
54	все что	2	5
55	отношению к	3	5
56	то же	12	5
57	прежде всего	4	4
58	для нас	2	4
59	том чтобы	3	4
60	в них	2	4
61	а в	3	4
62	и с	3	4
63	в конечном	5	4
64	в начале	3	4
65	что нам	2	4
66	так как	3	4
67	для всех	5	4
68	конечном счете	5	4
69	все же	2	4
70	в качестве	5	4
71	даже в	4	4
72	как раз	2	4
73	из того	2	4
74	хотя бы	2	4
75	и его	3	4
76	том числе	2	3
77	для этого	2	3
78	очевидно что	2	3
79	и сам	2	3
80	для него	4	3
81	при этом	6	3
82	из них	2	3
83	и до	2	3
84	данном случае	3	3
85	со стороны	3	3
86	и только	2	3
87	этом отношении	3	3
88	он на	2	3
89	в результате	2	3
90	в основе	2	3
91	к этой	2	3
92	с ним	2	3
93	состоит в	9	3
94	идет о	3	3
95	но не	5	3
96	того же	4	3
97	одной из	2	3
98	для себя	2	3
99	из тех	2	3
100	тем самым	3	3
101	а не	20	3
102	из которых	2	3
103	речь в	2	3
104	в данном	3	3
105	не надо	2	3
106	ничего не	3	3
107	в противоположность	2	2
108	быть может	3	2
109	же как	2	2
110	столь же	5	2
111	с этой	2	2
112	в такой	2	2
113	как уже	2	2
114	и как	3	2
115	за то	2	2
116	с ее	2	2
117	могут быть	2	2
118	в их	3	2
119	и других	4	2
120	не станем	2	2
121	в первый	2	2
122	а также	2	2
123	в одном	2	2
124	у него	2	2
125	отнюдь не	4	2
126	представляет собой	2	2
127	в его	4	2
128	речь идет	3	2
129	что и	2	2
130	во всех	3	2
131	и для	3	2
132	все равно	2	2
133	но с	3	2
134	в себя	3	2
135	той же	2	2
136	тому как	2	2
137	тем что	4	2
138	подобно тому	2	2
139	в себе	6	2
140	в другом	3	2
141	ту же	2	2
