N	2gram	Losev_Prob_2	Myslijsy
1	потому что	13	49
2	для нас	9	31
3	то есть	39	30
4	и в	35	24
5	может быть	18	23
6	то что	38	20
7	и не	37	19
8	а не	10	18
9	в том	12	18
10	что в	11	16
11	по себе	8	15
12	не только	24	15
13	при этом	3	13
14	было бы	8	13
15	не в	2	13
16	в слове	3	13
17	но не	4	12
18	не может	13	12
19	то же	5	12
20	мы можем	6	12
21	если бы	4	11
22	что мы	14	11
23	что и	2	11
24	вместе с	2	11
25	мы не	7	11
26	только в	14	11
27	таким образом	4	11
28	звука и	2	10
29	в себе	5	10
30	так что	11	10
31	так как	7	10
32	тогда когда	3	10
33	независимо от	2	9
34	точно так	3	9
35	вовсе не	37	9
36	как бы	4	9
37	но и	16	9
38	то и	4	9
39	а только	6	8
40	а в	4	8
41	том что	19	8
42	более или	4	8
43	или менее	4	8
44	в одно	2	8
45	и на	5	8
46	в этом	17	8
47	не могут	4	7
48	прежде всего	11	7
49	во всяком	13	7
50	мысль о	2	7
51	всяком случае	10	7
52	сами по	2	7
53	во всех	2	7
54	как и	5	7
55	того что	12	7
56	между собою	4	7
57	тем что	4	7
58	с этим	5	7
59	в состоянии	2	6
60	что если	4	6
61	связи с	5	6
62	с другой	6	6
63	не есть	33	6
64	и того	3	6
65	и как	4	6
66	не можем	4	6
67	только как	3	6
68	по поводу	2	6
69	тем не	12	6
70	и т	6	6
71	не было	3	6
72	не имеет	7	6
73	есть только	8	6
74	в то	6	6
75	и только	4	6
76	уже в	3	5
77	не менее	13	5
78	по крайней	6	5
79	есть не	6	5
80	человеческой речи	4	5
81	крайней мере	6	5
82	что они	3	5
83	тот же	4	5
84	что не	5	5
85	на то	6	5
86	о том	18	5
87	и их	3	5
88	так и	7	5
89	в них	2	5
90	бы не	3	5
91	для того	3	5
92	с другими	5	5
93	или не	2	5
94	все же	8	5
95	из этих	3	4
96	сознание и	2	4
97	что он	4	4
98	уже не	8	4
99	одна из	3	4
100	до сих	4	4
101	еще не	10	4
102	предмета и	3	4
103	и если	3	4
104	в самом	5	4
105	в нее	2	4
106	только один	3	4
107	нам кажется	2	4
108	сих пор	4	4
109	с одной	5	4
110	что оно	2	4
111	если не	4	4
112	и что	13	4
113	тем самым	7	4
114	в таком	11	4
115	тому как	3	4
116	подобно тому	2	4
117	с тем	3	4
118	но в	6	4
119	для меня	5	4
120	от другого	2	3
121	но даже	3	3
122	оно не	3	3
123	и от	3	3
124	и все	5	3
125	но мы	3	3
126	хотя и	3	3
127	то это	3	3
128	что на	4	3
129	о которых	3	3
130	только по	2	3
131	и при	2	3
132	все что	3	3
133	одной стороны	5	3
134	но это	6	3
135	мы в	3	3
136	которые мы	3	3
137	относится к	6	3
138	в ней	2	3
139	его в	3	3
140	и тем	4	3
141	слова и	4	3
142	в целом	3	3
143	себе в	2	3
144	на него	2	3
145	что она	4	3
146	только тогда	3	3
147	есть нечто	7	3
148	языка и	5	3
149	в языке	15	3
150	мы говорим	4	3
151	т д	6	3
152	и притом	3	3
153	если мы	9	3
154	что без	2	3
155	не так	2	3
156	и для	6	3
157	как на	2	3
158	той же	2	3
159	что для	3	3
160	во многих	2	3
161	и то	10	3
162	в каком	4	3
163	и вообще	16	3
164	далеко не	4	3
165	в этих	4	3
166	то не	3	3
167	которые не	2	3
168	это будет	3	3
169	и той	4	2
170	мы произносим	2	2
171	самого начала	2	2
172	всех этих	4	2
173	предполагает что	4	2
174	таком случае	10	2
175	время и	2	2
176	этом смысле	5	2
177	и есть	4	2
178	перестает быть	3	2
179	в нашем	3	2
180	или что	3	2
181	хотя бы	12	2
182	что слово	3	2
183	что многие	2	2
184	и это	5	2
185	одной и	2	2
186	предмета в	2	2
187	что все	6	2
188	с нею	2	2
189	вопрос о	3	2
190	значение и	8	2
191	есть прежде	4	2
192	что может	2	2
193	бы что	2	2
194	бы в	3	2
195	у нас	18	2
196	но все	2	2
197	все эти	7	2
198	есть в	4	2
199	совсем не	7	2
200	так же	5	2
201	что с	2	2
202	значением слова	3	2
203	в нашей	3	2
204	ли мы	2	2
205	и тот	3	2
206	в действительности	2	2
207	а скорее	2	2
208	в общем	4	2
209	общего с	2	2
210	сама по	4	2
211	и следовательно	4	2
212	но если	4	2
213	в его	7	2
214	если это	2	2
215	как именно	3	2
216	не все	4	2
217	один из	3	2
218	не знаем	3	2
219	ни с	2	2
220	нами не	4	2
221	указывает на	5	2
222	все это	4	2
223	допустим что	2	2
224	другой стороны	5	2
225	внимание на	3	2
226	вообще и	2	2
227	не во	3	2
228	в связи	5	2
229	а а	6	2
230	на самом	4	2
231	но только	4	2
232	самом деле	4	2
233	с самого	3	2
234	того чтобы	2	2
235	что такое	18	2
236	и по	3	2
237	должно быть	2	2
238	это содержание	2	2
239	или в	2	2
240	в данное	2	2
241	и здесь	4	2
242	нас в	3	2
243	их в	4	2
244	сказать что	24	2
245	тому что	3	2
246	ничем не	2	2
247	быть только	3	2
248	нас на	2	2
249	само по	2	2
250	даже и	18	2
251	не то	2	2
252	без которой	2	2
253	существует только	2	2
254	имея в	2	2
255	о котором	3	2
256	во все	2	2
257	или по	4	2
258	мы должны	3	2
259	могли бы	3	2
260	указание на	3	2
261	а это	3	2
262	когда мы	6	2
263	это было	2	2
264	и поэтому	2	2
265	мы бы	3	2
