N	2gram	Medvedev_U_1	Myshleni
1	в этом	7	29
2	и в	14	26
3	не только	10	24
4	то что	7	24
5	таким образом	2	23
6	в том	2	18
7	и не	8	18
8	том что	2	17
9	как и	3	15
10	но и	4	11
11	не может	7	11
12	в самом	2	9
13	что мы	2	9
14	тем что	2	9
15	в себе	2	9
16	то же	5	8
17	что она	2	8
18	что он	2	8
19	только в	2	8
20	прежде всего	8	7
21	может быть	6	7
22	мы не	2	7
23	и то	3	7
24	было бы	3	6
25	все же	3	6
26	самом деле	2	6
27	а не	10	6
28	если бы	2	5
29	и с	2	5
30	же самое	2	5
31	могли бы	2	5
32	и для	2	5
33	является в	2	5
34	не могут	2	4
35	с другой	4	4
36	в конце	2	4
37	в его	2	4
38	но в	3	4
39	о чем	2	4
40	не есть	2	4
41	не в	2	4
42	и только	5	4
43	в области	3	4
44	представляется нам	2	3
45	для этого	3	3
46	все это	5	3
47	это не	3	3
48	но это	2	3
49	очевидно что	3	3
50	для него	3	3
51	и является	2	3
52	смысле этого	2	3
53	этом отношении	2	3
54	по себе	2	3
55	в то	3	3
56	но не	2	3
57	до сих	2	3
58	что и	2	3
59	в своей	3	3
60	сих пор	2	3
61	как раз	2	3
62	в этой	4	3
63	его и	2	2
64	что все	2	2
65	мы и	2	2
66	одним из	2	2
67	в конечном	4	2
68	в их	4	2
69	нашему мнению	3	2
70	этого термина	2	2
71	как такового	3	2
72	конечном счете	4	2
73	у нас	3	2
74	только к	3	2
75	нас в	2	2
76	могут быть	2	2
77	вопроса о	2	2
78	ничего не	2	2
