N	3gram	Losev_Vesc_1	Myslijsy
1	в том что	4	13
2	не может быть	6	9
3	тем не менее	3	6
4	с другой стороны	2	5
5	в свою очередь	4	4
6	и т д	19	4
7	только тогда когда	2	4
8	а так как	2	3
9	с точки зрения	3	3
10	с одной стороны	3	3
11	не только в	4	3
12	сама по себе	3	3
13	подобно тому как	4	3
14	в себе или	2	2
15	по крайней мере	4	2
16	к тому что	2	2
17	дело в том	2	2
18	как бы ни	2	2
19	что иное как	7	2
20	то и другое	4	2
21	так что в	3	2
22	бы то ни	4	2
23	не что иное	7	2
24	не только не	2	2
25	для того чтобы	2	2
