N	2gram	Savitsky_P_1	Narrotol
1	не только	17	32
2	может быть	5	25
3	но и	6	23
4	в качестве	9	21
5	и не	12	20
6	и в	14	19
7	в том	9	18
8	в этом	10	17
9	в частности	2	14
10	том что	4	14
11	не в	5	14
12	а не	2	12
13	то что	4	11
14	а в	4	11
15	не может	4	10
16	точки зрения	3	10
17	со стороны	2	9
18	в его	2	9
19	в мире	2	9
20	с другой	5	8
21	в себе	3	8
22	а также	4	7
23	с одной	3	7
24	одной стороны	3	7
25	том числе	2	6
26	но не	3	6
27	именно в	2	6
28	тем самым	3	6
29	но в	9	6
30	и как	3	5
31	отнюдь не	2	5
32	по себе	4	5
33	переход от	2	4
34	прежде всего	3	4
35	в нем	3	4
36	то же	9	4
37	же в	4	4
38	да и	2	4
39	в силу	2	4
40	же время	7	4
41	было бы	6	4
42	вслед за	3	4
43	как бы	4	4
44	и тем	2	4
45	хотя бы	8	4
46	не столько	2	4
47	только в	7	4
48	и с	2	4
49	не менее	2	3
50	что в	4	3
51	могут быть	3	3
52	но о	2	3
53	одна из	2	3
54	хотя и	3	3
55	в ней	6	3
56	если в	2	3
57	из них	2	3
58	в ее	2	3
59	сводится к	3	3
60	столь же	3	3
61	между тем	3	3
62	не о	2	3
63	в то	7	3
64	в своем	4	2
65	быть может	6	2
66	точек зрения	2	2
67	есть в	2	2
68	в значительной	2	2
69	в пределах	8	2
70	было в	2	2
71	например в	2	2
72	наряду с	3	2
73	и потому	4	2
74	сами по	3	2
75	время в	2	2
76	в последние	2	2
77	во всей	2	2
78	как раз	2	2
79	отношения к	2	2
80	не было	2	2
81	что мы	3	2
82	с точки	3	2
83	это не	3	2
84	тем более	2	2
85	говорить о	2	2
