N	3gram	Trubetskoy_1	Problema
1	тем не менее	4	10
2	в том что	15	9
3	в данном случае	3	7
4	в связи с	3	7
5	и то что	3	7
6	во всяком случае	2	6
7	в этом случае	4	5
8	с другой стороны	4	5
9	не может быть	3	5
10	в то время	2	4
11	в то же	2	4
12	что же касается	2	4
13	бы то ни	2	4
14	то ни было	2	3
15	то что у	2	3
16	о том что	4	3
17	в конце концов	4	3
18	может быть и	4	3
19	именно потому что	2	3
20	заключается в том	2	3
21	по сравнению с	5	2
22	с точки зрения	8	2
23	друг от друга	6	2
24	отличаются друг от	3	2
25	только то что	2	2
26	до сих пор	8	2
27	в настоящее время	2	2
28	ничего общего с	2	2
29	в том виде	2	2
30	на самом деле	7	2
