N	2gram	Losev_Prob_2	NovoeSre
1	а не	10	17
2	не может	13	16
3	и в	35	16
4	совсем не	7	12
5	и не	37	11
6	и есть	4	10
7	что в	11	9
8	он не	2	8
9	в том	12	8
10	не будет	11	7
11	как и	5	7
12	в этом	17	7
13	может быть	18	7
14	не знает	3	6
15	не в	2	6
16	лишь в	3	6
17	но это	6	6
18	ни в	6	6
19	все это	4	5
20	и к	3	5
21	в ней	2	5
22	не только	24	5
23	не менее	13	4
24	то что	38	4
25	перестает быть	3	4
26	в них	2	4
27	большую роль	2	4
28	не во	3	4
29	и все	5	4
30	не было	3	4
31	не имеет	7	4
32	и для	6	4
33	должно быть	2	4
34	потому что	13	4
35	по своему	5	4
36	прежде всего	11	4
37	и мы	2	4
38	о том	18	4
39	значит что	4	4
40	но и	16	3
41	не есть	33	3
42	не существует	6	3
43	в истории	3	3
44	с другой	6	3
45	вопрос о	3	3
46	во всех	2	3
47	к тому	3	3
48	что такое	18	3
49	в основе	3	3
50	с тем	3	3
51	подобно тому	2	3
52	смысле слова	7	3
53	конечно не	2	3
54	она не	3	3
55	еще не	10	3
56	тому как	3	3
57	сказать что	24	3
58	не значит	2	3
59	это было	2	3
60	что все	6	2
61	вместе с	2	2
62	так и	7	2
63	что она	4	2
64	для этого	3	2
65	мысли и	2	2
66	другой стороны	5	2
67	и от	3	2
68	мы говорим	4	2
69	а в	4	2
70	с одной	5	2
71	этом смысле	5	2
72	все эти	7	2
73	уже не	8	2
74	нет и	3	2
75	роль в	2	2
76	того чтобы	2	2
77	одной стороны	5	2
78	и даже	11	2
79	от всякого	2	2
80	хотя бы	12	2
81	но не	4	2
82	так же	5	2
83	это и	3	2
84	мы не	7	2
85	том что	19	2
86	можно было	5	2
87	есть в	4	2
88	одна из	3	2
89	и с	10	2
90	и что	13	2
91	с этим	5	2
92	и на	5	2
93	в себе	5	2
94	ли это	2	2
95	ведь и	2	2
96	в то	6	2
97	как будто	6	2
98	и это	5	2
99	такого рода	15	2
100	когда мы	6	2
101	хотя и	3	2
102	более не	2	2
103	но в	6	2
