N	2gram	Tiupa_Narr_1	UchenyiS
1	и в	11	14
2	а не	13	10
3	не только	31	10
4	и не	23	8
5	прежде всего	4	8
6	то что	9	7
7	в этом	12	7
8	не может	8	7
9	может быть	15	6
10	хотя бы	2	5
11	и только	2	5
12	то же	8	5
13	но и	27	4
14	в этой	6	4
15	с другой	2	4
16	в конечном	3	4
17	но в	7	3
18	как и	13	3
19	и то	3	3
20	все же	4	3
21	в своей	5	3
22	в частности	14	3
23	же время	4	3
24	другой стороны	2	3
25	для него	4	3
26	это не	3	3
27	в то	4	3
28	и т.д	6	3
29	в области	2	3
30	не о	2	3
31	у нас	3	3
32	том что	7	2
33	но не	4	2
34	в том	8	2
35	мы не	3	2
36	с его	4	2
37	не в	6	2
38	и для	2	2
39	в противовес	3	2
40	о чем	4	2
41	если бы	7	2
42	нас в	2	2
43	это уже	3	2
44	только в	12	2
45	и с	3	2
46	сих пор	2	2
47	его и	2	2
48	что он	3	2
49	в себе	6	2
50	как раз	6	2
51	до сих	2	2
52	что мы	2	2
53	же самое	2	2
54	в конце	2	2
55	и через	2	2
56	если не	2	2
57	этом отношении	3	2
58	ни от	2	2
59	в самом	6	2
60	меньшей степени	2	2
61	по себе	4	2
62	а о	2	2
63	а его	2	2
64	сводится к	3	2
65	ничего не	2	2
66	самом деле	3	2
67	и является	2	2
68	в его	6	2
69	между тем	3	2
70	это было	2	2
