N	3gram	Medvedev_F_3	Problema
1	с точки зрения	14	11
2	тем не менее	2	10
3	в том что	3	8
4	то же самое	3	6
5	с другой стороны	5	6
6	в данном случае	4	5
7	во всяком случае	6	4
8	не только не	2	4
9	и т д	6	3
10	и во всяком	2	3
11	в зависимости от	5	3
12	в связи с	4	3
13	вместе с тем	3	3
14	в этом смысле	2	3
15	на самом деле	12	3
16	мы ни взяли	2	2
17	в то же	7	2
18	вовсе не является	3	2
19	сами по себе	2	2
20	дело не в	2	2
21	на самом же	2	2
22	для того чтобы	4	2
23	самом же деле	2	2
24	потому что он	3	2
