N	2gram	Trubetskoy_1	Marksizm
1	точки зрения	11	34
2	может быть	9	26
3	и не	19	26
4	не может	22	24
5	с точки	9	20
6	и в	14	19
7	таким образом	11	17
8	в этом	17	16
9	как бы	4	15
10	прежде всего	8	13
11	как и	4	12
12	и для	6	11
13	связи с	3	11
14	в самом	3	10
15	в нем	5	10
16	самом деле	7	10
17	для него	6	9
18	лишь в	3	9
19	в результате	2	9
20	только в	5	9
21	при этом	5	8
22	бы то	4	8
23	но и	10	8
24	то ни	4	8
25	друг друга	3	8
26	до сих	5	8
27	не только	9	8
28	все же	4	8
29	то что	13	8
30	сих пор	5	8
31	все эти	2	7
32	так же	2	7
33	и те	2	7
34	но в	2	7
35	во всех	5	7
36	то же	11	7
37	а не	2	7
38	в том	17	6
39	является не	2	6
40	в настоящее	2	6
41	– не	2	6
42	настоящее время	2	6
43	отнюдь не	7	6
44	в его	4	6
45	на почве	2	6
46	в конце	3	5
47	именно в	3	5
48	не в	4	5
49	конечно не	5	5
50	в начале	2	5
51	и потому	3	5
52	того чтобы	8	5
53	хотя бы	5	5
54	этот вопрос	2	5
55	во всяком	9	5
56	ясно что	2	5
57	что в	4	4
58	вопрос о	5	4
59	в ней	2	4
60	от того	4	4
61	а в	5	4
62	и на	5	4
63	жизни в	5	4
64	с этим	2	4
65	по себе	2	4
66	еще не	3	4
67	было бы	5	4
68	и тот	2	4
69	не будет	7	4
70	что же	4	4
71	только на	2	4
72	для того	6	4
73	в данном	7	4
74	отношении к	2	4
75	место в	2	3
76	и есть	2	3
77	и от	2	3
78	или иной	5	3
79	и как	3	3
80	в большинстве	3	3
81	же время	10	3
82	в котором	2	3
83	из них	3	3
84	все это	6	3
85	по отношению	2	3
86	не было	3	3
87	конце концов	3	3
88	того что	3	3
89	между тем	5	3
90	в то	10	3
91	его в	4	3
92	большинстве случаев	2	3
93	не могут	4	3
94	и к	6	3
95	этом случае	3	3
96	она может	3	3
97	том что	9	3
98	и при	6	3
99	мы должны	7	3
100	одной из	3	3
101	совершенно не	2	3
102	в корне	4	3
103	мы говорили	3	3
104	он не	5	3
105	не есть	3	3
106	в своей	5	3
107	быть и	2	3
108	целый ряд	2	3
109	на самом	6	3
110	сводится к	3	3
111	в области	2	3
112	зависит от	2	2
113	сама по	2	2
114	должна быть	2	2
115	в частности	2	2
116	никогда не	5	2
117	тому что	2	2
118	в своем	6	2
119	точку зрения	4	2
120	что все	3	2
121	ни в	2	2
122	но для	2	2
123	для всех	6	2
124	но если	3	2
125	и является	2	2
126	всяком случае	6	2
127	себе и	4	2
128	на этой	2	2
129	жизни и	4	2
130	и только	5	2
131	точке зрения	3	2
132	не просто	2	2
133	именно на	2	2
134	и даже	2	2
135	должно быть	3	2
136	можно было	4	2
137	в своих	6	2
138	ведь в	2	2
139	из этих	3	2
140	о том	7	2
141	так как	4	2
142	к этой	4	2
143	в сознании	3	2
144	и с	7	2
145	ни к	7	2
146	и более	2	2
147	для них	3	2
148	если бы	6	2
149	между собой	5	2
150	и во	3	2
151	что он	6	2
152	в себе	9	2
153	то в	3	2
154	к данному	2	2
155	одна из	3	2
156	от него	2	2
157	в качестве	3	2
158	там и	2	2
159	она не	2	2
160	мы уже	2	2
161	к тому	7	2
162	и этот	3	2
163	что и	3	2
164	благодаря этому	2	2
165	следовательно и	2	2
166	культуры и	2	2
167	себя от	3	2
168	из которых	5	2
169	что такое	2	2
170	в таком	2	2
171	или в	3	2
172	мы можем	2	2
173	тем что	3	2
174	которой она	2	2
175	в другом	3	2
176	и т.д	4	2
177	из этого	3	2
178	другом и	2	2
