N	2gram	Bakhtin_fo_2	UchenyiS
1	и в	46	14
2	а не	4	10
3	не только	11	10
4	и не	9	8
5	прежде всего	14	8
6	то что	7	7
7	в этом	22	7
8	не может	2	7
9	может быть	7	6
10	перестает быть	2	5
11	все это	6	5
12	и только	2	5
13	то же	8	5
14	но и	9	4
15	в этой	2	4
16	в их	3	4
17	конечно не	4	4
18	с другой	2	4
19	но в	10	3
20	как и	8	3
21	все же	6	3
22	в частности	5	3
23	же время	4	3
24	для него	3	3
25	это не	2	3
26	в то	5	3
27	было бы	2	3
28	у нас	2	3
29	том что	4	2
30	но не	5	2
31	в том	10	2
32	по существу	5	2
33	не в	9	2
34	всех этих	7	2
35	и для	9	2
36	но это	2	2
37	о чем	3	2
38	только в	11	2
39	и с	6	2
40	тем что	3	2
41	сих пор	2	2
42	могут быть	2	2
43	что он	3	2
44	все они	3	2
45	и у	5	2
46	в себе	4	2
47	до сих	2	2
48	же самое	3	2
49	в конце	2	2
50	что все	2	2
51	если не	2	2
52	этом отношении	2	2
53	по себе	2	2
54	в некоторых	2	2
55	что и	3	2
56	в его	8	2
57	на первый	3	2
58	таким образом	3	2
