N	2gram	Berdyaev_O_1	Psycholo
1	то что	5	32
2	и в	19	31
3	в том	5	30
4	что в	4	23
5	может быть	11	22
6	так как	2	18
7	не может	4	17
8	как и	6	16
9	том что	2	16
10	и не	13	16
11	а не	11	13
12	не только	11	13
13	что и	2	13
14	в этом	12	12
15	в самом	5	11
16	могут быть	3	11
17	не в	11	11
18	того что	3	10
19	потому что	9	10
20	по себе	2	9
21	никогда не	9	8
22	все это	6	8
23	что он	3	7
24	и его	4	7
25	того чтобы	4	7
26	сказать что	2	7
27	о том	3	7
28	до конца	7	6
29	было бы	3	6
30	а в	5	6
31	для того	3	6
32	в его	7	6
33	и есть	3	5
34	и все	10	5
35	в ее	2	5
36	все же	2	5
37	так что	2	5
38	как бы	3	5
39	и для	2	5
40	в которой	2	4
41	прежде всего	9	4
42	различие между	3	4
43	в себе	3	4
44	у него	22	4
45	и о	2	4
46	в этих	3	4
47	к этому	2	4
48	в своих	3	4
49	уже в	2	3
50	совсем не	2	3
51	не могут	3	3
52	с тем	2	3
53	в своем	2	3
54	что у	2	3
55	что все	2	3
56	вопрос о	10	3
57	и к	2	3
58	все что	3	3
59	в этой	5	3
60	хотя и	2	3
61	он не	7	3
62	не есть	2	3
63	в своей	2	3
64	так и	2	3
65	не было	9	3
66	и вот	3	3
67	но в	2	3
68	т е	4	3
69	можно ли	2	2
70	и там	2	2
71	и от	3	2
72	человека и	10	2
73	с ним	3	2
74	и потому	2	2
75	что они	2	2
76	него в	5	2
77	и очень	2	2
78	в нем	10	2
79	отношение к	5	2
80	когда он	3	2
81	но и	13	2
82	что же	2	2
83	мысли и	3	2
84	что есть	2	2
85	подойти к	2	2
86	к нему	3	2
87	от него	7	2
88	его не	2	2
89	что для	2	2
90	ничего не	2	2
91	как к	2	2
92	и с	2	2
93	одно из	2	2
94	и то	2	2
95	его в	2	2
96	к этой	2	2
