N	2gram	Tiupa_Lite_3	UchenyiS
1	и в	16	14
2	а не	12	10
3	не только	14	10
4	и не	22	8
5	прежде всего	3	8
6	то что	12	7
7	в этом	14	7
8	не может	8	7
9	может быть	12	6
10	эстетического объекта	6	6
11	художественное произведение	2	5
12	художественного творчества	2	5
13	и только	2	5
14	то же	9	5
15	но и	14	4
16	в этой	8	4
17	с другой	6	4
18	но в	3	3
19	как и	5	3
20	все же	2	3
21	в своей	7	3
22	в частности	11	3
23	бы то	2	3
24	то ни	2	3
25	же время	7	3
26	другой стороны	2	3
27	для него	2	3
28	это не	5	3
29	в то	9	3
30	не как	2	3
31	было бы	2	3
32	в области	3	3
33	ни было	2	3
34	у нас	2	3
35	том что	8	2
36	но не	4	2
37	в том	12	2
38	по существу	4	2
39	художественного произведения	2	2
40	с его	6	2
41	не в	10	2
42	и для	4	2
43	мы и	2	2
44	бы и	3	2
45	в противовес	7	2
46	о чем	3	2
47	если бы	2	2
48	не случайно	3	2
49	только в	7	2
50	и с	2	2
51	тем что	2	2
52	что он	5	2
53	все они	2	2
54	в себе	6	2
55	как раз	2	2
56	же самое	2	2
57	в конце	2	2
58	могли бы	2	2
59	если не	2	2
60	этом отношении	5	2
61	в самом	3	2
62	в сторону	3	2
63	по себе	2	2
64	одним из	4	2
65	самом деле	3	2
66	что и	2	2
67	в его	6	2
68	между тем	3	2
