N	2gram	Tiupa_Hudo_1	Komedia
1	и в	19	26
2	в комедии	2	19
3	и не	15	14
4	к тому	4	12
5	так и	11	12
6	и его	12	12
7	в том	18	11
8	может быть	14	11
9	но и	10	10
10	в этом	11	10
11	что в	6	9
12	том что	8	9
13	если бы	3	9
14	и на	2	7
15	не только	16	7
16	что и	2	7
17	в своем	2	6
18	то что	4	6
19	еще не	3	6
20	в нем	5	6
21	того чтобы	2	6
22	потому что	3	6
23	в то	6	6
24	о том	2	6
25	таким образом	3	6
26	с его	6	5
27	в которой	2	5
28	что он	3	5
29	в качестве	24	5
30	один из	2	5
31	ни в	5	5
32	для того	2	5
33	место в	4	4
34	не менее	3	4
35	в частности	13	4
36	в этих	3	4
37	тому что	2	4
38	в них	2	4
39	прежде всего	4	4
40	из этих	3	4
41	как и	2	4
42	в целом	3	4
43	с их	2	4
44	одной из	2	4
45	хотя и	3	4
46	в его	9	4
47	мира в	2	4
48	в самом	5	4
49	и для	2	4
50	точки зрения	10	4
51	только в	5	4
52	как это	5	4
53	его в	2	4
54	между тем	4	4
55	том числе	2	3
56	о чем	2	3
57	так или	3	3
58	отношению к	9	3
59	но не	11	3
60	того же	2	3
61	во всех	3	3
62	же время	5	3
63	со своей	3	3
64	никто не	2	3
65	например в	3	3
66	как правило	2	3
67	и особенно	2	3
68	себя в	7	3
69	в своей	5	3
70	в их	5	3
71	все это	2	3
72	по отношению	9	3
73	то же	10	3
74	как в	2	3
75	в самой	2	3
76	к нему	3	3
77	а в	12	3
78	или в	2	3
79	или иначе	4	3
80	не может	7	3
81	в этой	2	3
82	могла бы	2	3
83	но в	7	3
84	и другие	2	2
85	отнюдь не	2	2
86	однако в	4	2
87	в нашем	2	2
88	в какой	2	2
89	с другой	7	2
90	это не	2	2
91	нового времени	2	2
92	в одном	2	2
93	этом смысле	3	2
94	вовсе не	2	2
95	и к	3	2
96	об этом	2	2
97	в ее	5	2
98	не в	7	2
99	одна из	2	2
100	по своему	2	2
101	перед лицом	3	2
102	а на	5	2
103	одной стороны	2	2
104	он не	4	2
105	как бы	9	2
106	не вполне	2	2
107	чем это	2	2
108	даже в	3	2
109	не является	4	2
110	и это	2	2
111	в мире	21	2
112	отношение к	5	2
113	со стороны	2	2
114	что она	2	2
115	в отличие	7	2
116	так в	4	2
117	с одной	2	2
118	в той	3	2
119	и что	3	2
120	в принципе	5	2
121	времени в	2	2
122	отличие от	7	2
123	не следует	4	2
124	одно из	2	2
125	и ее	3	2
126	к его	2	2
127	говорить о	3	2
128	из этого	2	2
129	мы имеем	6	2
130	в состав	6	2
131	в виду	5	2
