N	2gram	Trubetskoy_1	Dialekti
1	не есть	3	47
2	и не	19	30
3	может быть	9	20
4	и в	14	19
5	не только	9	19
6	по себе	2	18
7	и т	3	17
8	а не	2	16
9	в себе	9	15
10	то что	13	14
11	и даже	2	14
12	в том	17	14
13	как бы	4	14
14	так как	4	14
15	потому что	5	14
16	но и	10	12
17	то же	11	12
18	не просто	2	12
19	точки зрения	11	12
20	что это	3	10
21	ни в	2	10
22	как и	4	10
23	и как	3	10
24	в нем	5	10
25	том что	9	10
26	никогда не	5	9
27	– не	2	9
28	не может	22	9
29	прежде всего	8	8
30	она не	2	8
31	мы уже	2	8
32	с точки	9	8
33	не в	4	8
34	это есть	2	8
35	в этом	17	8
36	в своей	5	8
37	сама по	2	7
38	но это	2	7
39	и к	6	7
40	совершенно не	2	7
41	что в	4	7
42	должно быть	3	7
43	и то	4	7
44	как будто	2	7
45	так что	2	7
46	что он	6	6
47	да и	3	6
48	что они	3	6
49	отнюдь не	7	6
50	в то	10	6
51	но не	4	6
52	есть и	2	6
53	конечно не	5	6
54	того что	3	6
55	жизни и	4	6
56	тогда когда	4	6
57	должна быть	2	5
58	же время	10	5
59	в силу	2	5
60	в самом	3	5
61	и потому	3	5
62	что и	3	5
63	и что	2	5
64	говорить о	3	5
65	только в	5	5
66	о том	7	5
67	и с	7	5
68	может не	3	4
69	нисколько не	2	4
70	и есть	2	4
71	в своем	6	4
72	ясно что	2	4
73	не могут	4	4
74	все же	4	4
75	при этом	5	4
76	еще не	3	4
77	и если	7	4
78	к нему	2	4
79	в меру	2	4
80	той или	3	4
81	он не	5	4
82	хотя бы	5	4
83	связи с	3	4
84	быть и	2	4
85	от того	4	4
86	все это	6	4
87	и только	5	4
88	таким образом	11	4
89	что оно	3	4
90	и вот	2	4
91	самом деле	7	4
92	и по	3	4
93	а в	5	4
94	в таком	2	4
95	в другом	3	4
96	с ним	2	4
97	всех этих	3	3
98	и более	2	3
99	можно ли	3	3
100	в этих	2	3
101	и от	2	3
102	с нею	3	3
103	вопрос о	5	3
104	уже не	2	3
105	в этой	4	3
106	было бы	5	3
107	себе и	4	3
108	из них	3	3
109	и тогда	2	3
110	с этим	2	3
111	не было	3	3
112	что такое	2	3
113	в данном	7	3
114	это только	2	3
115	о котором	3	3
116	его в	4	3
117	что же	4	2
118	зависит от	2	2
119	в частности	2	2
120	в конце	3	2
121	на самом	6	2
122	именно в	3	2
123	но мы	3	2
124	то это	3	2
125	к тому	7	2
126	так чтобы	3	2
127	не будет	7	2
128	с тем	6	2
129	или менее	4	2
130	что с	2	2
131	до сих	5	2
132	несмотря на	3	2
133	когда они	4	2
134	в ней	2	2
135	всяком случае	6	2
136	только к	3	2
137	если в	6	2
138	сих пор	5	2
139	себя в	4	2
140	в мире	4	2
141	будет ли	2	2
142	во всех	5	2
143	в некоторых	2	2
144	ее в	2	2
145	данном случае	3	2
146	в их	4	2
147	тому что	2	2
148	так же	2	2
149	может только	3	2
150	что бы	3	2
151	культуры и	2	2
152	а потому	5	2
153	более или	4	2
154	в другое	4	2
155	или в	3	2
156	в своих	6	2
157	в результате	2	2
158	их в	2	2
159	и при	6	2
160	бы ни	2	2
161	между тем	5	2
162	тем что	3	2
163	в виде	3	2
164	во время	2	2
165	мы должны	7	2
166	того или	2	2
167	во всяком	9	2
168	все эти	2	2
169	и человек	2	2
170	и должно	2	2
171	в области	2	2
172	но в	2	2
173	вместе с	4	2
