N	3gram	Potebnia_M_3	Problema
1	тем не менее	3	18
2	и т д	3	10
3	для того чтобы	3	8
4	сам по себе	5	7
5	в таком случае	2	6
6	то что мы	2	6
7	не есть ни	4	5
8	в том что	16	5
9	в то же	5	4
10	сама по себе	2	4
11	в буквальном смысле	2	3
12	более или менее	3	3
13	до сих пор	3	3
14	можно сказать что	2	3
15	с другой стороны	4	3
16	не только не	2	3
17	в себе не	2	3
18	именно то что	2	3
19	потому что оно	2	2
20	по крайней мере	5	2
21	только потому что	2	2
22	в сознании и	2	2
23	подобно тому как	2	2
24	было бы мало	2	2
25	и в самом	2	2
26	не может быть	3	2
