N	2gram	Berdyaev_M_1	Formalny
1	т е	2	32
2	и не	11	30
3	и в	28	27
4	может быть	30	25
5	не может	28	24
6	и его	9	19
7	в этом	20	18
8	а не	25	17
9	точки зрения	4	16
10	в нем	13	15
11	как и	5	14
12	не в	16	12
13	если бы	2	12
14	и от	2	11
15	в самом	11	11
16	в жизни	3	11
17	место в	2	10
18	но и	25	10
19	не могут	5	10
20	лишь в	6	9
21	так как	3	9
22	не только	29	9
23	что в	10	8
24	как бы	2	8
25	и все	10	8
26	то что	5	8
27	входит в	2	8
28	только в	6	8
29	в том	6	7
30	все это	6	7
31	потому что	16	7
32	в то	2	7
33	его в	3	7
34	с тем	9	7
35	для них	3	7
36	в его	9	7
37	все эти	2	6
38	бы в	2	6
39	но в	7	6
40	что он	10	6
41	было бы	10	6
42	все же	2	6
43	в своей	15	6
44	хотя бы	3	6
45	и для	2	6
46	вместе с	6	6
47	никогда не	14	5
48	того чтобы	2	5
49	и их	3	5
50	в ней	15	5
51	в истории	2	5
52	но не	8	5
53	и потому	10	5
54	тем что	4	5
55	уже в	4	4
56	прежде всего	10	4
57	к тому	3	4
58	он был	14	4
59	и как	2	4
60	до конца	14	4
61	для того	2	4
62	жизни и	2	4
63	и те	2	4
64	о том	2	4
65	не есть	9	4
66	в ее	3	4
67	том что	3	4
68	она не	4	4
69	конечно не	3	4
70	как в	2	4
71	менее всего	7	4
72	могут быть	2	4
73	бы и	3	3
74	в этих	4	3
75	это не	5	3
76	в конце	7	3
77	для нас	3	3
78	должна быть	6	3
79	того что	7	3
80	одним из	2	3
81	в него	3	3
82	в виду	2	3
83	этот процесс	3	3
84	по отношению	2	3
85	и что	2	3
86	в которых	4	3
87	и на	6	3
88	сказать что	2	3
89	и с	3	3
90	в основе	2	3
91	он и	2	3
92	от его	2	3
93	жизни в	2	3
94	в них	4	3
95	у нас	5	3
96	литературы и	2	3
97	о нем	2	3
98	еще в	2	3
99	нет и	5	3
100	отношению к	2	3
101	в той	2	3
102	уже не	4	3
103	в себе	7	3
104	мы еще	2	2
105	вообще не	2	2
106	и мир	2	2
107	переходит в	15	2
108	человека и	14	2
109	в этой	6	2
110	на этом	3	2
111	смысле слова	4	2
112	но если	3	2
113	в котором	8	2
114	был бы	10	2
115	только один	2	2
116	учение о	3	2
117	они неизбежно	2	2
118	отличается от	2	2
119	в своем	10	2
120	отношения к	4	2
121	человека как	2	2
122	в самой	7	2
123	увидим что	4	2
124	в высшей	2	2
125	как он	2	2
126	в россии	2	2
127	конце концов	2	2
128	с его	3	2
129	не как	4	2
130	и во	2	2
131	к этому	2	2
132	нет никаких	2	2
133	от него	4	2
134	не знают	3	2
135	связано с	2	2
136	мы увидим	3	2
137	за пределы	4	2
138	ни с	4	2
139	не значит	2	2
140	должен быть	2	2
141	что и	4	2
142	который был	2	2
143	и самый	2	2
144	бы не	2	2
145	на земле	2	2
146	это и	4	2
147	человека в	13	2
148	чтобы не	2	2
149	это значит	3	2
150	от этого	2	2
151	высшей степени	2	2
152	в каком	2	2
153	на протяжении	2	2
154	и это	12	2
155	ничего не	3	2
